"","screenName","location","latitude","longitude","state"
"1","Andrelinu","Nowhere",40.7317696,-73.9841161,"New York"
"2","lilheirs","Minneapolis, MN",44.977753,-93.2650108,"Minnesota"
"3","PPFerguson314","Ferguson, MO",38.7442175,-90.3053915,"Missouri"
"6","poeknowskc","Kansas City, MO",39.0997265,-94.5785667,"Missouri"
"8","CourtLouisee_","Bolton ",44.3726476,-72.8787625,"Vermont"
"10","hdlamey","Kentucky",37.8393332,-84.2700179,"Kentucky"
"13","pureheart421","Mansura",31.0579664,-92.049012,"Louisiana"
"14","alistasi","Los Angeles, CA",34.0522342,-118.2436849,"California"
"16","BraekHaven","Charlotte, NC",35.2270869,-80.8431267,"North Carolina"
"17","Immunize_USA","Houston, TX",29.7604267,-95.3698028,"Texas"
"18","logansaysyee","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"20","profworr","Seattle, WA",47.6062095,-122.3320708,"Washington"
"21","PelhamPatch","Pelham , NY",40.9098215,-73.8079111,"New York"
"22","YorktownPatch","Yorktown, NY",41.2625965,-73.8183804,"New York"
"23","TarrytownsPatch","Tarrytown, NY",41.0762077,-73.8587461,"New York"
"24","RivertownsPatch","Hastings-on-Hudson, NY",40.994542,-73.8787461,"New York"
"25","BronxvillePatch","Bronxville, NY",40.9381544,-73.8320784,"New York"
"26","NyackPatch","Nyack & Piermont, NY",41.0906519,-73.9179146,"New York"
"27","PvillePatch","Briarcliff Manor/Pleasantville",41.1494143,-73.8296372,"New York"
"28","HussonSpectator","Bangor, ME",44.8016128,-68.7712257,"Maine"
"29","TerrySc24806954","Georgetown, KY",38.2097967,-84.5588311,"Kentucky"
"31","sabphipps","540",36.180133,-94.190149,"Arkansas"
"33","WanderssonR","Capital Federal",37.2228318,-95.7103362,"Kansas"
"34","queenammilada","Pearl of the Orient",41.4823117,-81.8368625,"Ohio"
"36","smith1981_smith","Oklahoma, USA",35.0077519,-97.092877,"Oklahoma"
"37","leishizzle","Honolulu, HI",21.3069444,-157.8583333,"Hawaii"
"38","TheInsaneRobin","Chicago",41.8781136,-87.6297982,"Illinois"
"39","Ren0eNVy","Reno, NV",39.5296329,-119.8138027,"Nevada"
"40","BadGirlFee__","Houston, TX",29.7604267,-95.3698028,"Texas"
"42","daschaser","Johnson City, TN",36.3134397,-82.3534727,"Tennessee"
"43","meagan_clements","on your mind",25.9046798,-80.3262284,"Florida"
"44","PeekskillPatch","Peekskill, NY",41.2900939,-73.9204158,"New York"
"45","PChesterPatch","New York",40.7127753,-74.0059728,"New York"
"46","NewRoPatch","New Rochelle, NY",40.9114882,-73.7823549,"New York"
"47","SoutheastPatch","Brewster, NY",41.3973163,-73.6170721,"New York"
"48","TheRealket_","804",46.4068561,-105.8477586,"Montana"
"49","NanuetPatch","Nanuet, NY",41.0887073,-74.013473,"New York"
"50","FrancisLake1","New England",43.9653889,-70.8226541,"Maine"
"51","TheSciBabe","Oakland, CA",37.8043637,-122.2711137,"California"
"52","sofiebatt","Denton, TX",33.2148412,-97.1330683,"Texas"
"53","MarketingMitch2","Harlem, NY",40.8115504,-73.9464769,"New York"
"54","DrHietanen","New York, USA",40.7127753,-74.0059728,"New York"
"55","flawsnalll_","Kentucky, USA",37.8393332,-84.2700179,"Kentucky"
"57","Baii95","Oklahoma, USA",35.0077519,-97.092877,"Oklahoma"
"58","altaria999","she",36.159905,-95.9894529,"Oklahoma"
"59","lrl0929","713 | 281 | 832",29.7702071,-95.4078111,"Texas"
"60","KatTap17","Tiverton, RI",41.6259211,-71.2134231,"Rhode Island"
"62","MomsTEAM","Worldwide",36.249758,-95.266826,"Oklahoma"
"63","NewCityPatch","New City, NY",41.1475954,-73.989306,"New York"
"64","MidHudsonPatch","Mid Hudson Valley, NY",41.4550678,-74.3924483,"New York"
"65","WASHBURNSHS","1700 S.W. College Topeka, Ks",39.03334,-95.701567,"Kansas"
"68","Mancinoagency","5473 Flanagan Road, Marcy, NY",43.1269781,-75.2376283,"New York"
"69","WeAreBlood","Austin, TX",30.267153,-97.7430608,"Texas"
