"","screenName","location","latitude","longitude","state"
"1","joslynn_padilla","Odessa, TX",31.8456816,-102.3676431,"Texas"
"2","vindicatedlich","Houston, TX",29.7604267,-95.3698028,"Texas"
"5","stichomancery","Florida, USA",27.6648274,-81.5157535,"Florida"
"6","Surge_Yo","Denver, Co - El Paso, Tx",31.7735978,-106.4664648,"Texas"
"7","taiylor_laree","hogwarts",28.4722475,-81.4736377,"Florida"
"10","Revz_OW","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"11","AMARichmond","Richmond, VA",37.5407246,-77.4360481,"Virginia"
"13","WordsworthGwary","Room 101",33.6567432,-111.9323009,"Arizona"
"18","medeecine","black lives matter",33.7614059,-84.3880318,"Georgia"
"20","_cozykaplan_","Rhode Island",41.5800945,-71.4774291,"Rhode Island"
"23","ReubenJHenshaw","Hyrule ",41.5153904,-87.356455,"Indiana"
"26","RobertReed003","Shenandoah Valley VA",38.4834568,-78.8497485,"Virginia"
"29","hwisaek","DM. OC. KRP. AOCNET. 0101 <U+0001F33B>",33.7174708,-117.8311428,"California"
"30","Lindyy_Lu","Coolin it in Texas <U+0001F1E8><U+0001F1F1>",31.9685988,-99.9018131,"Texas"
"31","__fc","Somerville, MA",42.3875968,-71.0994968,"Massachusetts"
"33","peebanjay","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"34","_IcedSweetKee","Texas, USA",31.9685988,-99.9018131,"Texas"
"35","PredPleb","Nowhere",40.7317696,-73.9841161,"New York"
"39","SeanKrummel","Burbank, Ca.",34.1808392,-118.3089661,"California"
"43","GregoryEllner","New York, NY",40.7127753,-74.0059728,"New York"
"44","LiamPagex","Lost",36.834603,-94.6171303,"Missouri"
"46","thejasminemaria","Madison, WI",43.0730517,-89.4012302,"Wisconsin"
"50","Maxiine_dee","••Far Far away••",43.177883,-73.055672,"Vermont"
"53","_jeszsell","Venus",30.2851533,-81.5138602,"Florida"
"56","dianakelly","New York, NY",40.7127753,-74.0059728,"New York"
"58","TajSupreme","PG",35.976288,-94.316978,"Arkansas"
"60","katyhagelin","Washington, USA",47.7510741,-120.7401385,"Washington"
"62","moannabelle","ph",36.1498952,-96.0055776,"Oklahoma"
"68","josh_pancubit","C.J.M",38.6208449,-90.218875,"Missouri"
"69","Namteerah","Valhalla ",40.7659887,-73.9874078,"New York"
"70","bloodedline","nicole king",41.722532,-87.59057,"Illinois"
"74","andrewMI2018","On Lake Michigan",44.3148443,-85.6023643,"Michigan"
"77","_jjaeee","New Jersey, USA",40.0583238,-74.4056612,"New Jersey"
"78","bluberi_sakura","PH",36.1498952,-96.0055776,"Oklahoma"
"79","Pretty__Porsha","FL",27.6648274,-81.5157535,"Florida"
"82","unfilteredmomat","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"83","BossLadyK89","Roc NewYork",40.7456231,-73.9939519,"New York"
"85","Krissssssy1","Georgetown, SC",33.376834,-79.2944964,"South Carolina"
"87","SpaceGhostJSR","Ghost Planet",33.7838234,-84.3923948,"Georgia"
"88","ClairePfeiffer","Hell ",42.43472,-83.985,"Michigan"
"94","Keyairaaax","Maryland, USA",39.0457549,-76.6412712,"Maryland"
"96","PrettyGirlQui_","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"97","PrettyBrnBrn","Austin,tx",30.267153,-97.7430608,"Texas"
"98","gpapiiii","Durham, NC",35.9940329,-78.898619,"North Carolina"
"99","paradisalpjm","Brooklyn, NY",40.6781784,-73.9441579,"New York"
"103","jasortiz_","South Central",37.720682,-97.137069,"Kansas"
"104","JackyGuzman22","Dallas, Tx",32.7766642,-96.7969879,"Texas"
"106","YOGLinny_","North Philadelphia",40.0145387,-75.1311264,"Pennsylvania"
"107","poetnextdoor","757",36.1039955,-80.2414543,"North Carolina"
"109","_iCOMPLETEyou","MississippiStateUniversity<U+2764><U+FE0F>",33.4551742,-88.7943766,"Mississippi"
"111","aBikeDada","Wakanda",44.9030233,-91.920983,"Wisconsin"
"112","natalieefh","tx ",31.9685988,-99.9018131,"Texas"
"113","victoriiuh_","New York",40.7127753,-74.0059728,"New York"
"114","Too_Sadiddy","Pensacola Fl ",30.421309,-87.2169149,"Florida"
"116","j4thehofit","Beverly, MA",42.5584283,-70.880049,"Massachusetts"
"120","ahsheadache","Mount Royal, NJ",39.8099873,-75.2117904,"New Jersey"
"122","canicuIa","li | they/she | <U+0001F1FA><U+0001F1F8><U+2192><U+0001F1EF><U+0001F1F5>",40.789142,-73.134961,"New York"
"123","KatileeTuron","New York, USA",40.7127753,-74.0059728,"New York"
"125","known_as_kelly","Tampa, FL",27.950575,-82.4571776,"Florida"
"126","Vayaa04","Wilmington Manor, DE",39.6867795,-75.5843694,"Delaware"
"128","alvarez_jenni12","Salem, OR",44.9428975,-123.0350963,"Oregon"
"130","Kbarge60","New York, USA",40.7127753,-74.0059728,"New York"
"135","cat_asstrophe","queer city, houston",29.7480122,-95.3895175,"Texas"
