"","screenName","location","latitude","longitude","state"
"1","vScienceBites","Ohio, USA",40.4172871,-82.907123,"Ohio"
"2","RochelleLand","Lincoln, NE",40.813616,-96.7025955,"Nebraska"
"9","evarin_AAN","Aberdeen, SD",45.4646985,-98.4864829,"South Dakota"
"10","sorridiFe","Federico",38.8583014,-90.0655187,"Illinois"
"11","DrCJohns","Annapolis, MD",38.9784453,-76.4921829,"Maryland"
"13","rightsaid1","Milky Way",42.3144108,-71.1040509,"Massachusetts"
"14","hara_juun","<U+30E9><U+30A4><U+30D6><U+30CF><U+30A6><U+30B9>",41.8882283,-87.6290982,"Illinois"
"17","famfightflu","Arlington, VA",38.8816208,-77.0909809,"Virginia"
"18","Kendall_Maries","Round Rock, TX",30.5082551,-97.678896,"Texas"
"20","IDSE_Online","New York, NY",40.7127753,-74.0059728,"New York"
"26","philosopherstew","Ontario, CA. Ethicist Veganism",34.0633443,-117.6508876,"California"
"34","menphis75","Orione",42.390473,-71.0050637,"Massachusetts"
"43","VDHLiveWell","Richmond, VA",37.5407246,-77.4360481,"Virginia"
"44","bigthink","New York, NY",40.7127753,-74.0059728,"New York"
"46","greenhousemd","South Carolina",33.836081,-81.1637245,"South Carolina"
"47","ASBMB","Rockville, Maryland",39.0839973,-77.1527578,"Maryland"
"53","NFIDvaccines","Bethesda, MD",38.984652,-77.0947092,"Maryland"
"55","thereal_truther","Flat Earth",37.6985324,-97.441091,"Kansas"
"59","AndyVermaut","One world",40.7133444,-74.0133677,"New York"
"61","ElitensNyheder","Twitter",37.7764685,-122.4172004,"California"
"69","jkimballcook","Rochester, NY",43.1565779,-77.6088465,"New York"
"71","2njerii","Longview, WA",46.1381676,-122.9381672,"Washington"
"73","DakiniDarkstar","California, USA",36.778261,-119.4179324,"California"
"84","MassDPH","Boston, MA",42.3600825,-71.0588801,"Massachusetts"
"86","rpalmeira","Hawaii, USA",19.8967662,-155.5827818,"Hawaii"
"87","kriebel_ann","Ardmore, PA",40.0067785,-75.2854622,"Pennsylvania"
"88","joewalter9999","St. Paul, MN",44.9537029,-93.0899578,"Minnesota"
"90","rosnqueen","Tucson, AZ",32.2226066,-110.9747108,"Arizona"
"96","wsbradio","Atlanta",33.7489954,-84.3879824,"Georgia"
"103","GossipGirl_GG_x","Manhattan, NY",40.7830603,-73.9712488,"New York"
"107","OR4MedFreedom","Oregon",43.8041334,-120.5542012,"Oregon"
"109","thewrll","Bellevue, WA",47.6101497,-122.2015159,"Washington"
"110","PedsMamaDoc","Minneapolis, MN",44.977753,-93.2650108,"Minnesota"
"111","poandpo","World",36.7491737,-95.972262,"Oklahoma"
"115","EDub56","San Francisco, CA",37.7749295,-122.4194155,"California"
"118","jamiefriesen","Dedmonton",42.4539038,-82.9131836,"Michigan"
"121","EugeneBu","Wrightwood, CA",34.3608341,-117.6333884,"California"
"122","HeatherOEPR","Jackson, MS",32.2987573,-90.1848103,"Mississippi"
"128","EBmedicine","Norcross, GA",33.9412127,-84.2135309,"Georgia"
"129","ickystijl","Arizona, USA",34.0489281,-111.0937311,"Arizona"
"132","realmrkimbell","Jeffersonville, Indiana",38.2775702,-85.7371847,"Indiana"
"133","waitfornialler","Mac Laren’s Pub ",40.7649588,-73.9828743,"New York"
"134","CDCFlu","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"139","ceci_beauty","Pinole, CA",38.0043667,-122.2988587,"California"
"143","GabiPie1","New York, USA",40.7127753,-74.0059728,"New York"
"144","medevidenceblog","Salt Lake City, Utah",40.7607793,-111.8910474,"Utah"
"146","ejclark64","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"147","TCUPhysAstro","Texas Christian University",32.7095936,-97.3635602,"Texas"
"148","master_usmle_rv","Massachusetts, USA",42.4072107,-71.3824374,"Massachusetts"
"149","buzzyhelps","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"150","dfaber84","Washington, USA",47.7510741,-120.7401385,"Washington"
