"","screenName","location","latitude","longitude","state"
"5","copperheaad","Inglewood, CA",33.9616801,-118.3531311,"California"
"8","MassageHealthHE","Barrington Rhode Island",41.7406798,-71.308609,"Rhode Island"
"11","model_daughters","Everywhere",33.7589188,-84.3640829,"Georgia"
"13","seneca_horton","Owensboro, KY",37.7719074,-87.1111676,"Kentucky"
"14","lymphdiva81","Missouri, USA",37.9642529,-91.8318334,"Missouri"
"15","iamelexus","Santa Clara, CA",37.3541079,-121.9552356,"California"
"21","paininjury","Thousand Oaks, CA",34.1705609,-118.8375937,"California"
"23","Dubhly13","Illinois, USA",40.6331249,-89.3985283,"Illinois"
"25","LockettLab","Chapel Hill, NC",35.9131996,-79.0558445,"North Carolina"
"29","ncarmichaeldds","9728 Carmel Mountain Rd. Ste B, San Diego, CA 92129",32.9622644,-117.1171225,"California"
"31","CharleeHoffman","Missoula, MT",46.8721284,-113.9940314,"Montana"
"32","debbiegoins74","Phenix City, AL",32.4709761,-85.0007653,"Alabama"
"33","slmcadam","Massachusetts, USA",42.4072107,-71.3824374,"Massachusetts"
"37","John_Larson16","Frankfort, IL",41.4958665,-87.8486613,"Illinois"
"40","WendyNofer","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"42","KateVasey","Portsmouth, NH",43.0717552,-70.7625532,"New Hampshire"
"46","bbycurves","Lazy Links",45.076836,-93.1360529,"Minnesota"
"48","BitchWithA_W","Boston, MA",42.3600825,-71.0588801,"Massachusetts"
"50","greydnls","Brooklyn, NY",40.6781784,-73.9441579,"New York"
"52","sapphys","Oregon, USA",43.8041334,-120.5542012,"Oregon"
"54","Ageless_Herbs","North Carolina USA",35.7595731,-79.0192997,"North Carolina"
"55","veevvie","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"58","_ashleyterry_","Bellingham, WA",48.7519112,-122.4786854,"Washington"
"61","wsu_cvmgsa","Pullman, WA",46.7297771,-117.1817377,"Washington"
"62","HeartsatPlay","Ventura, California, USA",34.2804923,-119.2945199,"California"
"64","Wh0v1an_4_L1fe","Barre, VT",44.1970055,-72.5020494,"Vermont"
"65","westsidewell","Providence, RI",41.8239891,-71.4128343,"Rhode Island"
"66","LacyDrake84","El dorado,Kansas",37.81724,-96.8622524,"Kansas"
"68","NFCR","Rockville, MD",39.0839973,-77.1527578,"Maryland"
"70","CMC_Lancaster","Lancaster, Texas",32.5920798,-96.7561082,"Texas"
"71","CrossoBethers","Florida, USA",27.6648274,-81.5157535,"Florida"
"72","Awithonelison","New Jersey",40.0583238,-74.4056612,"New Jersey"
"73","s___flexing","Ithaca, NY",42.4439614,-76.5018807,"New York"
"75","Lean_Meats","Albuquerque, NM",35.0843859,-106.650422,"New Mexico"
"76","wendyfreemann","Reno, NV",39.5296329,-119.8138027,"Nevada"
"77","MrsDarlingWifey","Texas",31.9685988,-99.9018131,"Texas"
"80","kelseyyvictoria","vacation.",36.2725826,-96.0510498,"Oklahoma"
"83","7niner6","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"86","ThomGambino","New York City",40.7127753,-74.0059728,"New York"
"88","mooreraulsome","Oceanside, CA",33.1958696,-117.3794834,"California"
"89","DiagnosticCyto","Malden, MA",42.4250964,-71.066163,"Massachusetts"
"94","LeslieBattenND","Spokane WA",47.6587802,-117.4260465,"Washington"
"96","AssociateMTs","Fort Wayne, IN",41.079273,-85.1393513,"Indiana"
"97","mashihovibes","multi ",36.7499718,-95.9348204,"Oklahoma"
"99","chhardman","Utah",39.3209801,-111.0937311,"Utah"
"100","LaredoHealth","Laredo, TX",27.5035613,-99.5075519,"Texas"
"105","deepinsights19","Dunya",38.8138332,-77.1352756,"Virginia"
"107","MSollender","California, USA",36.778261,-119.4179324,"California"
"108","GaunderSaige","Kalamazoo, MI",42.2917069,-85.5872286,"Michigan"
"109","DrHeelan","West Palm Beach, FL.",26.7153424,-80.0533746,"Florida"
"111","PinkFortitude","Alexandria, VA",38.8048355,-77.0469214,"Virginia"
"113","IJSurgery","Global",37.0329949,-95.6400855,"Kansas"
"114","sandi_buchanan","Lubbock, TX",33.5778631,-101.8551665,"Texas"
"119","phhooeebbee1","Yorba Linda, CA",33.8885035,-117.8132571,"California"
"120","rbripley","Earth",37.2321077,-95.7243335,"Kansas"
"122","gdinspired1","World Wide",36.249758,-95.266826,"Oklahoma"
"123","WrongEndotr","Kansas, USA",39.011902,-98.4842465,"Kansas"
"126","sn00zecrew","nah",41.3477592,-74.8830066,"Pennsylvania"
"128","melodicire","NYC",40.7127753,-74.0059728,"New York"
"132","rhodonotablink","ROSÉ ",45.5149498,-122.6734595,"Oregon"
"135","hoenestIyy","NYC",40.7127753,-74.0059728,"New York"
"138","physiciansthriv","Omaha, Nebraska",41.2565369,-95.9345034,"Nebraska"
"139","karnivore11","IV <U+2194><U+FE0F> Ames",42.0307812,-93.6319131,"Iowa"
"140","MLISrevenge","ND by way of IL, IA, IL, & MN",40.6983747,-89.6014715,"Illinois"
"141","BusDadInc","Vermont",44.5588028,-72.5778415,"Vermont"
"143","swiftnaturals10","North Carolina",35.7595731,-79.0192997,"North Carolina"
"147","might_be_a_mark","Smoky Mountains",35.6531943,-83.5070203,"Tennessee"
"148","IconicLucky","Hell, NM",34.9039412,-106.4336333,"New Mexico"
"150","AnnaDsays","Austin, TX",30.267153,-97.7430608,"Texas"
"151","thenext_step123","New York, NY",40.7127753,-74.0059728,"New York"
"152","Jenjay12","New Jersey",40.0583238,-74.4056612,"New Jersey"
"160","ElizabethGalen","Austin, Texas",30.267153,-97.7430608,"Texas"
"161","offbrandgranola","Austin, TX",30.267153,-97.7430608,"Texas"
"167","hamsacenter","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"168","NEJM","Boston, MA",42.3600825,-71.0588801,"Massachusetts"
"169","drgarynull","NYC",40.7127753,-74.0059728,"New York"
"170","dovahmhysa","Los Angeles, CA",34.0522342,-118.2436849,"California"
"171","marynew","South Carolina",33.836081,-81.1637245,"South Carolina"
"172","TLCschool","Austin, Texas",30.267153,-97.7430608,"Texas"
"173","icantfindmybees","Lafayette, LA",30.2240897,-92.0198427,"Louisiana"
"176","blamom","PA",41.2033216,-77.1945247,"Pennsylvania"
"179","potato_crisp","Washington",47.7510741,-120.7401385,"Washington"
"180","snipeyhead","NYC expat in San Diego, CA",40.7127753,-74.0059728,"New York"
"189","ECAware","worldwide",36.249758,-95.266826,"Oklahoma"
"196","canis_brillante","ATX",30.2649158,-97.7493159,"Texas"
"197","elisabobisa917","San Leandro, CA",37.7249296,-122.1560768,"California"
"198","natalietooturnt","the city",36.3683682,-96.0008489,"Oklahoma"
"201","peachypiexo","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"203","jediyuhdigg","Los Angeles, CA",34.0522342,-118.2436849,"California"
"204","connied319","Slidell, LA",30.2751945,-89.7811745,"Louisiana"
"206","KimberlyCHHC","Minnesota",46.729553,-94.6858998,"Minnesota"
"213","exervolve","Sparta, NJ",41.0334562,-74.6363588,"New Jersey"
"214","Sara_AnnMan","Pittsburgh, PA",40.4406248,-79.9958864,"Pennsylvania"
"216","PVPSnews","Ponte Vedra Beach, FL ",30.2400058,-81.3852595,"Florida"
"226","MLDInstitute","WPB, Florida",26.7153424,-80.0533746,"Florida"
"230","jonathon_clark","Richmond, KY",37.7478572,-84.2946539,"Kentucky"
"236","AleaJuneMortens","Downey, CA",33.9401088,-118.1331593,"California"
"237","master_usmle_rv","Massachusetts, USA",42.4072107,-71.3824374,"Massachusetts"
"238","finesse_god_","Chicago",41.8781136,-87.6297982,"Illinois"
"241","kt_maye","space",36.7499658,-95.9626008,"Oklahoma"
"242","KarenKrystal29","Forney, TX",32.7481845,-96.4719312,"Texas"
"244","Billcaswell8","Louisville, KY",38.2526647,-85.7584557,"Kentucky"
"245","transwolverine","Florida",27.6648274,-81.5157535,"Florida"
"246","SusanAllen11sd","Oregon, USA",43.8041334,-120.5542012,"Oregon"
"247","wright__mikayla","Robinson, IL",39.0053201,-87.7391935,"Illinois"
