"","screenName","location","latitude","longitude","state"
"2","TheRealket_","804",46.4068561,-105.8477586,"Montana"
"3","DrHietanen","New York, USA",40.7127753,-74.0059728,"New York"
"4","lindamartinseng","Michigan",44.3148443,-85.6023643,"Michigan"
"5","KrisDoerschner","Beaver, PA",40.6953437,-80.3047846,"Pennsylvania"
"6","VivianJo1","SC",33.836081,-81.1637245,"South Carolina"
"9","MadMatt7783","Cleveland Ohio ",41.49932,-81.6943605,"Ohio"
"10","chasemcgowen","Keepin' it Weird in Austin, TX",30.271651,-97.757343,"Texas"
"11","greenhousemd","South Carolina",33.836081,-81.1637245,"South Carolina"
"12","vweric23","Spring, TX",30.0799405,-95.4171601,"Texas"
"13","enginerdmd","Marvel universe",27.5185306,-82.5417195,"Florida"
"14","HaygoodLaw","Odessa, TX",31.8456816,-102.3676431,"Texas"
"16","bestwishz","niagara falls",43.0962143,-79.0377388,"New York"
"17","Franklin_E_T","Arkansas, USA",35.20105,-91.8318334,"Arkansas"
"22","DrRaleighSpine","Raleigh, NC",35.7795897,-78.6381787,"North Carolina"
"27","BethPapaleo","NoLIta, Manhattan",40.7230413,-73.9948607,"New York"
"28","haley_schmaley","your dreams",34.1945158,-84.3066722,"Georgia"
"29","BobStemen","Boerne, TX (generally)",29.7946641,-98.7319703,"Texas"
"30","megdscott","Mississippi, USA",32.3546679,-89.3985283,"Mississippi"
"31","happy_meal41","Louisville, KY",38.2526647,-85.7584557,"Kentucky"
"32","Freeholdchiro","Freehold, NJ",40.2136754,-74.3000878,"New Jersey"
"33","PDXJenni","Portland, OR",45.5122308,-122.6587185,"Oregon"
"35","Sarah_Says__","Toledo, Ohio",41.6528052,-83.5378674,"Ohio"
"37","tialouease","Arkansas",35.20105,-91.8318334,"Arkansas"
"38","travisbyday","Accrual World",35.196606,-80.767434,"North Carolina"
"39","toppediatrician","St Petersburg, FL",27.7676008,-82.6402915,"Florida"
"43","ind3fatigable","in a strange place",38.93654,-94.384627,"Missouri"
"44","familybiznas","Norfolk, Va",36.8507689,-76.2858726,"Virginia"
"45","AndreaMG6788","Texas, USA",31.9685988,-99.9018131,"Texas"
"46","doctorMarkyMark","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"47","JillGrimesMD","Austin, TX",30.267153,-97.7430608,"Texas"
"48","MadaleineGray","Nashville, TN",36.1626638,-86.7816016,"Tennessee"
"50","tonyapb3","Iowa Falls, IA",42.5198868,-93.2645741,"Iowa"
"51","tworavensbrew","Newark, DE",39.6837226,-75.7496572,"Delaware"
"53","colorofyaenergy","Johnson City, TN",36.3134397,-82.3534727,"Tennessee"
"54","nataliefsx","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"55","dellarants","Texas, USA",31.9685988,-99.9018131,"Texas"
"57","wpnofassdstrctn","Oklahoma, USA",35.0077519,-97.092877,"Oklahoma"
"58","dhoomonyou","Florida, USA",27.6648274,-81.5157535,"Florida"
"59","EBmedicine","Norcross, GA",33.9412127,-84.2135309,"Georgia"
"61","tamiflu__shrine","<U+4F1A><U+793E>",37.2691528,-95.5559753,"Kansas"
"62","acstaton","Huntsville, AL",34.7303688,-86.5861037,"Alabama"
"64","socie","Philadelphia, PA",39.9525839,-75.1652215,"Pennsylvania"
"65","PetersonJeffE","Anchorage, AK",61.2180556,-149.9002778,"Alaska"
"66","Southwest_Texan","Texas, USA",31.9685988,-99.9018131,"Texas"
"67","MegTheSavage","West Virginia, USA",38.5976262,-80.4549026,"West Virginia"
"68","mkashiouris","Richmond, VA",37.5407246,-77.4360481,"Virginia"
"74","jbavousett","1 AU from Sol, near Dallas",32.7766642,-96.7969879,"Texas"
"77","JudgeHopkins","Missouri, USA",37.9642529,-91.8318334,"Missouri"
"79","peeray4","Tennessee, USA",35.5174913,-86.5804473,"Tennessee"
"81","karenellen45","Florida's Space Coast",28.3542063,-80.7260209,"Florida"
"84","hua_zhong","San Jose, CA",37.3382082,-121.8863286,"California"
"86","Christa0003","Tennessee, USA",35.5174913,-86.5804473,"Tennessee"
"87","JCMentorMom","California, USA",36.778261,-119.4179324,"California"
"90","Maureenqueen","Houston",29.7604267,-95.3698028,"Texas"
"91","CaitlynMooneyMD","San Antonio, TX",29.4241219,-98.4936282,"Texas"
"93","ohiodisneydad","Ohio, USA",40.4172871,-82.907123,"Ohio"
"94","AttorneyUrso","Stamford, CT",41.0534302,-73.5387341,"Connecticut"
"95","FOX19Tricia","Cincinnati, OHIO",39.1031182,-84.5120196,"Ohio"
"96","SamMorgan621","Mountains",34.7328466,-98.7131984,"Oklahoma"
"98","PetalSettle","Reality",37.032872,-95.6318183,"Kansas"
"100","belindalacoste","Dallas, Texas",32.7766642,-96.7969879,"Texas"
"102","NightNurseSteph","Arkansas, USA",35.20105,-91.8318334,"Arkansas"
"103","lovemadle","Texas, USA",31.9685988,-99.9018131,"Texas"
"106","eksamhammer","Syracuse, NY",43.0481221,-76.1474244,"New York"
"107","DrvanTilburg","Chapel Hill, NC",35.9131996,-79.0558445,"North Carolina"
"108","EvyDimova","Clay, NY",43.1856814,-76.1717547,"New York"
"109","DrCJohns","Annapolis, MD",38.9784453,-76.4921829,"Maryland"
"110","nisssa_","Texas",31.9685988,-99.9018131,"Texas"
"111","chroniclateness","New York, New York",36.1023715,-115.1745559,"Nevada"
"112","Rustyg62","Tahlequah , Ok./ greenville Ms",35.91537,-94.969956,"Oklahoma"
"114","Kunzitoons","California, USA",36.778261,-119.4179324,"California"
"115","billredwine","Morehead, KY",38.1839705,-83.4326841,"Kentucky"
"116","ArikasRamblings","PNW, Washington, USA",47.7510741,-120.7401385,"Washington"
"117","xolovecourtneyy","New York",40.7127753,-74.0059728,"New York"
"118","katielachelle","Praying & Focusing",36.0520373,-95.956614,"Oklahoma"
"122","LeadChangeTrish","Los Angeles",34.0522342,-118.2436849,"California"
"124","LoriRuder","Cleveland, OH",41.49932,-81.6943605,"Ohio"
"125","OSUEMEdu","Columbus, OH",39.9611755,-82.9987942,"Ohio"
"126","RavingToyManiac","Sunny Colorado",38.8446032,-104.783748,"Colorado"
"127","mbuhtz","Massachusetts",42.4072107,-71.3824374,"Massachusetts"
"129","AL_Progressive","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"131","christophurious","San Diego, Ca",32.715738,-117.1610838,"California"
"134","xxdegausser","Baltimore, MD",39.2903848,-76.6121893,"Maryland"
"135","salliegoetsch","Oakley, CA (California Delta)",38.0062966,-121.7525413,"California"
"136","ConnorLee35","Norman, OK",35.2225668,-97.4394777,"Oklahoma"
"137","rclift61","Kentucky, USA",37.8393332,-84.2700179,"Kentucky"
"139","FuliginousS","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"140","jamesgray0","Cincinnati, OH",39.1031182,-84.5120196,"Ohio"
"141","just_TINO","San Diego, CA",32.715738,-117.1610838,"California"
"142","PEMTweets","Cincinnati, OH",39.1031182,-84.5120196,"Ohio"
"143","perryboy2000","Viburnum, MO",37.7153239,-91.1351341,"Missouri"
"144","pharmacychecker","New York, NY",40.7127753,-74.0059728,"New York"
"145","steveathanas","Massachusetts, USA",42.4072107,-71.3824374,"Massachusetts"
"146","Addy_Lane","Northwest Arkansas",36.0148605,-94.2333355,"Arkansas"
"148","Chronicwatch","Marietta, GA",33.952602,-84.5499327,"Georgia"
"150","HonnyDipp","Roanoke, VA",37.2709704,-79.9414266,"Virginia"
"151","CLeighCook","Chattanooga, TN",35.0456297,-85.3096801,"Tennessee"
"152","GreedXbox1","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"153","_BambisWorld","H-town",29.8348884,-95.3837448,"Texas"
"154","BEautifully_C","KY<U+2708><U+FE0F>LA",37.8393332,-84.2700179,"Kentucky"
"155","MarronMarvel","Arlington, VA",38.8816208,-77.0909809,"Virginia"
"156","KatMoski926","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"159","TripBurg","Columbus, OH",39.9611755,-82.9987942,"Ohio"
"164","purrenrage","Alaska",64.2008413,-149.4936733,"Alaska"
"165","420lanie","Texas, USA",31.9685988,-99.9018131,"Texas"
