"","screenName","location","latitude","longitude","state"
"1","blktoast","Dover, NH",43.1978624,-70.8736698,"New Hampshire"
"2","jpharley3000","New York, USA",40.7127753,-74.0059728,"New York"
"4","NEVHC","1172 North Maclay Avenue 91340",34.2957906,-118.4237633,"California"
"7","tyr_knight","Lee's Summit, MO",38.9108408,-94.3821724,"Missouri"
"8","jaredcovo","Costa Mesa, CA",33.6412156,-117.9188221,"California"
"9","D__CM","Providence, RI",41.8239891,-71.4128343,"Rhode Island"
"10","Jinzang","Baltimore, MD",39.2903848,-76.6121893,"Maryland"
"12","davidgaliel","Portland, OR",45.5122308,-122.6587185,"Oregon"
"13","VCUnews","Richmond, VA",37.5407246,-77.4360481,"Virginia"
"14","TakeThatCDC","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"15","Ren0eNVy","Reno, NV",39.5296329,-119.8138027,"Nevada"
"16","ViraBurnayeva","NoVA, USA",45.4604,-122.788377,"Oregon"
"18","altaria999","she",36.159905,-95.9894529,"Oklahoma"
"19","DawnieRotten","CT",41.6032207,-73.087749,"Connecticut"
"22","elliecb33"," CHI, ATX, TN",35.5174913,-86.5804473,"Tennessee"
"24","ntarbie","Phoenix, AZ",33.4483771,-112.0740373,"Arizona"
"25","RichSqueezy","Los Angeles,Ca",34.0522342,-118.2436849,"California"
"26","PinkSheepNews","Collinsport, Maine",45.253783,-69.4454689,"Maine"
"27","PeterHotez","Montrose, Houston TX",29.7427249,-95.3991907,"Texas"
"28","oj_arbolario","Gardena, California",33.8883487,-118.3089624,"California"
"30","ShikhaJainMD","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"31","jessadill","Blackfoot Territory",48.6666441,-112.9175826,"Montana"
"34","NorthPHX_FoodLv","PhxAZ",33.4483771,-112.0740373,"Arizona"
"36","shanequick4ms","Upper Miss'ippi",38.9002728,-90.6538904,"Missouri"
"41","TheNHF","Monrovia, CA",34.1442616,-118.0019482,"California"
"42","BLaw","Arlington, VA",38.8816208,-77.0909809,"Virginia"
"46","mabelberezin","Cornell University",42.4534492,-76.4735027,"New York"
"49","cnni","Everywhere",33.7589188,-84.3640829,"Georgia"
"50","Melody7473","New York, USA",40.7127753,-74.0059728,"New York"
"51","mailtribune","Southern Oregon",42.7976791,-122.4332992,"Oregon"
"52","SonjaBachman","Kansas City",39.0997265,-94.5785667,"Missouri"
"53","LactatedRingers","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"54","HomeopathicDana","Berkeley, CA., USA",37.8715926,-122.272747,"California"
"55","toughestbro","Earth",37.2321077,-95.7243335,"Kansas"
"56","HabariCloud","Worldwide",36.249758,-95.266826,"Oklahoma"
"57","MaimThe","Los Angeles, CA",34.0522342,-118.2436849,"California"
