"","screenName","location","latitude","longitude"
"1","vScienceBites","Ohio, USA",40.4172871,-82.907123
"2","RochelleLand","Lincoln, NE",40.813616,-96.7025955
"3","muralcom","México",23.634501,-102.552784
"4","mangelhdez","Monterrey",25.6866142,-100.3161126
"5","edithfalcon","Monterrey, Nuevo León",25.6866142,-100.3161126
"6","Anabteles","Plön, Deutschland",54.1613302,10.4259498
"7","stepheneast","ireland",53.1423672,-7.6920536
"8","Globalmediamx","San Luis Potosí, México",22.1564699,-100.9855409
"9","evarin_AAN","Aberdeen, SD",45.4646985,-98.4864829
"10","sorridiFe","Federico",38.8583014,-90.0655187
"11","DrCJohns","Annapolis, MD",38.9784453,-76.4921829
"13","rightsaid1","Milky Way",42.3144108,-71.1040509
"14","hara_juun","<U+30E9><U+30A4><U+30D6><U+30CF><U+30A6><U+30B9>",41.8882283,-87.6290982
"15","RestoreHearing","London",51.5073509,-0.1277583
"16","codigosanluisi","México, San Luis Potosí",22.1564699,-100.9855409
"17","famfightflu","Arlington, VA",38.8816208,-77.0909809
"18","Kendall_Maries","Round Rock, TX",30.5082551,-97.678896
"19","STGedomex","Toluca, México",19.2826098,-99.6556653
"20","IDSE_Online","New York, NY",40.7127753,-74.0059728
"21","Sn00zel","Germany",51.165691,10.451526
"22","cessarsalas","México",23.634501,-102.552784
"23","CavaleraCorey","Mexico",23.634501,-102.552784
"24","Sparpagli","italia",41.87194,12.56738
"25","alipasha","Frankfurt on the Main, Germany",50.1109221,8.6821267
"26","philosopherstew","Ontario, CA. Ethicist Veganism",34.0633443,-117.6508876
"27","JLChavez09","Mérida, Yucatán, México",20.9673702,-89.5925857
"28","ioloraccolgo","Pavia, Lombardia",45.1847248,9.1582069
"29","Revista_Teorema","Mexico",23.634501,-102.552784
"30","ACritica","Manaus - Amazonas - Brasil",-3.1190275,-60.0217314
"32","ominismoochey","LOST IN PARADISE",28.278369,-80.6075093
"33","Abdulmalick_007","Lagos, Nigeria",6.5243793,3.3792057
"34","menphis75","Orione",42.390473,-71.0050637
"35","OCTAVIOMARIN","San Pedro Cholula, PUEBLA",19.0765772,-98.3021192
"36","MrPoyayann","<U+5927><U+962A><U+3082><U+3057><U+304F><U+306F><U+4EAC><U+90FD>",34.6937378,135.5021651
"37","TallRovingAsian","Bangkok, Thailand",13.7563309,100.5017651
"38","gaboperez3","merida  yucatan",20.9673702,-89.5925857
"39","DraMentiras","Sala común de Gryffindor.",19.2681765,-99.6468945
"40","honesthistory1","Canberra",-35.2809368,149.1300092
"41","RedaktionMK","Weinheim, Deutschland",49.544964,8.6602704
"42","NeuroDepresiva","Querétaro Arteaga, México",20.5888184,-100.3898876
"43","VDHLiveWell","Richmond, VA",37.5407246,-77.4360481
"44","bigthink","New York, NY",40.7127753,-74.0059728
"46","greenhousemd","South Carolina",33.836081,-81.1637245
"47","ASBMB","Rockville, Maryland",39.0839973,-77.1527578
"48","car0lzita","Uberlândia, Minas Gerais",-18.9127534,-48.275484
"49","_Aleyvag","Tlalnepantla, México",19.5345279,-99.1907364
"50","PlanTodaUnaVida","Quito",-0.1806532,-78.4678382
"51","DShengjuler","Paris, France",48.856614,2.3522219
"52","NoraCutcliffe","Toronto, Ontario",43.653226,-79.3831843
"53","NFIDvaccines","Bethesda, MD",38.984652,-77.0947092
"54","ElUniversal_SLP","San Luis Potosí, México",22.1564699,-100.9855409
"55","thereal_truther","Flat Earth",37.6985324,-97.441091
"56","perthisok","Perth, Western Australia",-31.9505269,115.8604572
"57","ssaludsonora","México",23.634501,-102.552784
"58","FilDelMonte","Anagni, Lazio",41.745324,13.1513636
"59","AndyVermaut","One world",40.7133444,-74.0133677
"60","slattsmachine","Ennis, Ireland",52.8474255,-8.9887384
"61","ElitensNyheder","Twitter",37.7764685,-122.4172004
"62","Salud_Ec","Ecuador",-1.831239,-78.183406
"63","CloseUp__mx","San Luis Potosí, México.",22.1564699,-100.9855409
"65","IlariaBifarini","Roma, Lazio",41.8902259,12.5065278
"67","alecerio","Assistenza Tecnica",43.7616,10.43888
"69","jkimballcook","Rochester, NY",43.1565779,-77.6088465
"71","2njerii","Longview, WA",46.1381676,-122.9381672
"73","DakiniDarkstar","California, USA",36.778261,-119.4179324
"74","OMNIHospital","Guayaquil, Ecuador",-2.1709979,-79.9223592
"75","indepe_hgo","Pachuca de Soto, Hidalgo",20.1010608,-98.7591311
"76","figuredisfondo","Naples, south Italy",40.8517983,14.26812
"77","sasa_obradovic","<U+041F><U+0430><U+0434><U+043E><U+0432><U+0430>",45.4064349,11.8767611
"78","infoitsalute","Italia",41.87194,12.56738
"79","ContextoColima","Colima",19.1222634,-104.0072348
"80","be_niceg12","México",23.634501,-102.552784
"81","sbdrysdale","London, England",51.5073509,-0.1277583
"83","caballero_26","Monterrey, Nuevo León",25.6866142,-100.3161126
"84","MassDPH","Boston, MA",42.3600825,-71.0588801
"86","rpalmeira","Hawaii, USA",19.8967662,-155.5827818
