"","screenName","location","latitude","longitude"
"2","i_c_sound","Melbourne, Australia",-37.8136276,144.9630576
"4","lymph_lea","<U+798F><U+5CA1><U+770C><U+4E45><U+7559><U+7C73><U+5E02><U+7530><U+4E3B><U+4E38><U+753A>",33.3447759,130.6911193
"5","copperheaad","Inglewood, CA",33.9616801,-118.3531311
"6","furumachi_lymph","<U+65B0><U+6F5F><U+5E02><U+4E2D><U+592E><U+533A><U+53E4><U+753A>",37.9220836,139.0449978
"8","MassageHealthHE","Barrington Rhode Island",41.7406798,-71.308609
"9","ToyFu332","Glasgow, Brum, Texas,Cybertron",55.864237,-4.251806
"11","model_daughters","Everywhere",33.7589188,-84.3640829
"12","KawasakiDisCan","Canada",56.130366,-106.346771
"13","seneca_horton","Owensboro, KY",37.7719074,-87.1111676
"14","lymphdiva81","Missouri, USA",37.9642529,-91.8318334
"15","iamelexus","Santa Clara, CA",37.3541079,-121.9552356
"16","mxaabi","Calgary, Alberta",51.0486151,-114.0708459
"21","paininjury","Thousand Oaks, CA",34.1705609,-118.8375937
"22","igityan","Germany",51.165691,10.451526
"23","Dubhly13","Illinois, USA",40.6331249,-89.3985283
"24","fivememos","venice",45.4408474,12.3155151
"25","LockettLab","Chapel Hill, NC",35.9131996,-79.0558445
"26","IFeelGoodTherap","Surrey, UK",51.3147593,-0.5599501
"28","BiologicalB","England, United Kingdom",52.3555177,-1.1743197
"29","ncarmichaeldds","9728 Carmel Mountain Rd. Ste B, San Diego, CA 92129",32.9622644,-117.1171225
"31","CharleeHoffman","Missoula, MT",46.8721284,-113.9940314
"32","debbiegoins74","Phenix City, AL",32.4709761,-85.0007653
"33","slmcadam","Massachusetts, USA",42.4072107,-71.3824374
"36","BIOCIENCIA2013","Cumaná",10.431916,-64.183316
"37","John_Larson16","Frankfort, IL",41.4958665,-87.8486613
"39","ariella8","The pale blue dot ",43.2626969,-79.866193
"40","WendyNofer","Pennsylvania, USA",41.2033216,-77.1945247
"41","Maria_the_Bae","Vancouver, British Columbia",49.2827291,-123.1207375
"42","KateVasey","Portsmouth, NH",43.0717552,-70.7625532
"45","EINMesothelioma","Washington, D.C.",38.9071923,-77.0368707
"46","bbycurves","Lazy Links",45.076836,-93.1360529
"47","GaryPage999","Liverpool, England",53.4083714,-2.9915726
"48","BitchWithA_W","Boston, MA",42.3600825,-71.0588801
"50","greydnls","Brooklyn, NY",40.6781784,-73.9441579
"52","sapphys","Oregon, USA",43.8041334,-120.5542012
"53","laserinaclinic","Manchester, England",53.4807593,-2.2426305
"54","Ageless_Herbs","North Carolina USA",35.7595731,-79.0192997
"55","veevvie","Atlanta, GA",33.7489954,-84.3879824
"56","Sunfire2109","Washington, DC",38.9071923,-77.0368707
"57","Itsalltheatre","Galway ",53.270668,-9.0567905
"58","_ashleyterry_","Bellingham, WA",48.7519112,-122.4786854
"59","FavThingsBot","Swiss/Austrian Border",46.818188,8.227512
"60","Natalii98370536","<U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>",48.379433,31.1655799
"61","wsu_cvmgsa","Pullman, WA",46.7297771,-117.1817377
"62","HeartsatPlay","Ventura, California, USA",34.2804923,-119.2945199
"63","CRUCIO_24","Beni Suef, Egypt",29.0661274,31.0993845
"64","Wh0v1an_4_L1fe","Barre, VT",44.1970055,-72.5020494
"65","westsidewell","Providence, RI",41.8239891,-71.4128343
"66","LacyDrake84","El dorado,Kansas",37.81724,-96.8622524
"67","waldingtongirl","from The Wild West, U.K.",55.9289767,-3.2104594
"68","NFCR","Rockville, MD",39.0839973,-77.1527578
"70","CMC_Lancaster","Lancaster, Texas",32.5920798,-96.7561082
"71","CrossoBethers","Florida, USA",27.6648274,-81.5157535
"72","Awithonelison","New Jersey",40.0583238,-74.4056612
"73","s___flexing","Ithaca, NY",42.4439614,-76.5018807
"74","TeamHaem","Newcastle upon Tyne, UK",54.978252,-1.61778
"75","Lean_Meats","Albuquerque, NM",35.0843859,-106.650422
"76","wendyfreemann","Reno, NV",39.5296329,-119.8138027
"77","MrsDarlingWifey","Texas",31.9685988,-99.9018131
