"","screenName","location","latitude","longitude"
"1","joslynn_padilla","Odessa, TX",31.8456816,-102.3676431
"2","vindicatedlich","Houston, TX",29.7604267,-95.3698028
"4","natashajad3","South East, England",51.2330699,-0.5732182
"5","stichomancery","Florida, USA",27.6648274,-81.5157535
"6","Surge_Yo","Denver, Co - El Paso, Tx",31.7735978,-106.4664648
"7","taiylor_laree","hogwarts",28.4722475,-81.4736377
"9","AofANLA","Brisbane, Queensland",-27.4697707,153.0251235
"10","Revz_OW","Colorado, USA",39.5500507,-105.7820674
"11","AMARichmond","Richmond, VA",37.5407246,-77.4360481
"13","WordsworthGwary","Room 101",33.6567432,-111.9323009
"15","23islands_","Miami, FL",25.7616798,-80.1917902
"16","mnorris76","Northampton, England",52.240477,-0.902656
"18","medeecine","black lives matter",33.7614059,-84.3880318
"19","Coach_WadeS","Washington, DC USA",38.9071923,-77.0368707
"20","_cozykaplan_","Rhode Island",41.5800945,-71.4774291
"23","ReubenJHenshaw","Hyrule ",41.5153904,-87.356455
"24","Abrams_mufc","England, United Kingdom",52.3555177,-1.1743197
"26","RobertReed003","Shenandoah Valley VA",38.4834568,-78.8497485
"27","rengedfern","kelowna",49.8879519,-119.4960106
"29","hwisaek","DM. OC. KRP. AOCNET. 0101 <U+0001F33B>",33.7174708,-117.8311428
"30","Lindyy_Lu","Coolin it in Texas <U+0001F1E8><U+0001F1F1>",31.9685988,-99.9018131
"31","__fc","Somerville, MA",42.3875968,-71.0994968
"33","peebanjay","Chicago, IL",41.8781136,-87.6297982
"34","_IcedSweetKee","Texas, USA",31.9685988,-99.9018131
"35","PredPleb","Nowhere",40.7317696,-73.9841161
"38","shuukiyamaa","United Kingdom",55.378051,-3.435973
"39","SeanKrummel","Burbank, Ca.",34.1808392,-118.3089661
"43","GregoryEllner","New York, NY",40.7127753,-74.0059728
"44","LiamPagex","Lost",36.834603,-94.6171303
"45","lafleurmtl","Montréal, Québec",45.5016889,-73.567256
"46","thejasminemaria","Madison, WI",43.0730517,-89.4012302
"47","ShanleyLM","Canada",56.130366,-106.346771
"48","Kurtny_lovee","Philippines",12.879721,121.774017
"50","Maxiine_dee","••Far Far away••",43.177883,-73.055672
"52","JOYDIVISlON","asstralia",-25.274398,133.775136
"53","_jeszsell","Venus",30.2851533,-81.5138602
"55","SeniorisDK","Nigeria",9.081999,8.675277
"56","dianakelly","New York, NY",40.7127753,-74.0059728
"57","geminibuttaflyy","MD via Washington, DC",38.9029171,-77.037824
"58","TajSupreme","PG",35.976288,-94.316978
"60","katyhagelin","Washington, USA",47.7510741,-120.7401385
"61","ParAwayyy","Los Banos, Laguna",14.1699121,121.2440631
"62","moannabelle","ph",36.1498952,-96.0055776
"63","BFRESH301","Cameroon",7.369722,12.354722
"65","GeraldLasser","Munich, Bavaria",48.1351253,11.5819805
"66","yuuyuu573","<U+5BAE><U+57CE><U+770C><U+4ED9><U+53F0><U+5E02><U+592A><U+767D><U+533A>",38.2243475,140.8771342
"67","black2kool","Isolo, Nigeria",6.535498,3.3086778
"68","josh_pancubit","C.J.M",38.6208449,-90.218875
"69","Namteerah","Valhalla ",40.7659887,-73.9874078
"70","bloodedline","nicole king",41.722532,-87.59057
"73","canbernard","Sydney, Australia",-33.8688197,151.2092955
"74","andrewMI2018","On Lake Michigan",44.3148443,-85.6023643
"77","_jjaeee","New Jersey, USA",40.0583238,-74.4056612
"78","bluberi_sakura","PH",36.1498952,-96.0055776
"79","Pretty__Porsha","FL",27.6648274,-81.5157535
"80","snoozlessnow","West Lulworth, England",50.6259853,-2.2482557
"82","unfilteredmomat","Michigan, USA",44.3148443,-85.6023643
"83","BossLadyK89","Roc NewYork",40.7456231,-73.9939519
"85","Krissssssy1","Georgetown, SC",33.376834,-79.2944964
"87","SpaceGhostJSR","Ghost Planet",33.7838234,-84.3923948
"88","ClairePfeiffer","Hell ",42.43472,-83.985
"89","TaeKookqueenchi","Seoul, Republic of Korea",37.566535,126.9779692
"90","_freemilez","Accra, Ghana",5.6037168,-0.1869644
"91","Only1QueenJay","Trinidad and Tobago",10.691803,-61.222503
"92","__Zuhaib","England, United Kingdom",52.3555177,-1.1743197
"94","Keyairaaax","Maryland, USA",39.0457549,-76.6412712
"96","PrettyGirlQui_","Atlanta, GA",33.7489954,-84.3879824
"97","PrettyBrnBrn","Austin,tx",30.267153,-97.7430608
"98","gpapiiii","Durham, NC",35.9940329,-78.898619
"99","paradisalpjm","Brooklyn, NY",40.6781784,-73.9441579
"101","starrlionwemet","Canada",56.130366,-106.346771
"103","jasortiz_","South Central",37.720682,-97.137069
"104","JackyGuzman22","Dallas, Tx",32.7766642,-96.7969879
"105","janisamarina","Trinidad and Tobago",10.691803,-61.222503
"106","YOGLinny_","North Philadelphia",40.0145387,-75.1311264
"107","poetnextdoor","757",36.1039955,-80.2414543
"108","LyySya","Malacca, Malaysia",2.189594,102.2500868
"109","_iCOMPLETEyou","MississippiStateUniversity<U+2764><U+FE0F>",33.4551742,-88.7943766
"110","normanmackay3","Glasgow, Scotland",55.864237,-4.251806
"111","aBikeDada","Wakanda",44.9030233,-91.920983
