"","screenName","location","latitude","longitude"
"2","TheRealket_","804",46.4068561,-105.8477586
"3","DrHietanen","New York, USA",40.7127753,-74.0059728
"4","lindamartinseng","Michigan",44.3148443,-85.6023643
"5","KrisDoerschner","Beaver, PA",40.6953437,-80.3047846
"6","VivianJo1","SC",33.836081,-81.1637245
"7","KikaSanFrei","Manaus, Brasil",-3.1190275,-60.0217314
"8","murahito_eomsam","Seoul, Republic of Korea",37.566535,126.9779692
"9","MadMatt7783","Cleveland Ohio ",41.49932,-81.6943605
"10","chasemcgowen","Keepin' it Weird in Austin, TX",30.271651,-97.757343
"11","greenhousemd","South Carolina",33.836081,-81.1637245
"12","vweric23","Spring, TX",30.0799405,-95.4171601
"13","enginerdmd","Marvel universe",27.5185306,-82.5417195
"14","HaygoodLaw","Odessa, TX",31.8456816,-102.3676431
"15","Arthurvneto","Manaus, Brasil",-3.1190275,-60.0217314
"16","bestwishz","niagara falls",43.0962143,-79.0377388
"17","Franklin_E_T","Arkansas, USA",35.20105,-91.8318334
"20","NOTLcottagerent","Niagara-on-the-Lake, ON",43.2549988,-79.0772616
"22","DrRaleighSpine","Raleigh, NC",35.7795897,-78.6381787
"23","IngridCecilia60","Barcelona, Spain",41.3850639,2.1734035
"25","millino","100<U+5186><U+5916><U+52D9><U+7701><U+3010> HP R-18<U+6CE8><U+610F> <U+3011>",35.6742768,139.7497229
"27","BethPapaleo","NoLIta, Manhattan",40.7230413,-73.9948607
"28","haley_schmaley","your dreams",34.1945158,-84.3066722
"29","BobStemen","Boerne, TX (generally)",29.7946641,-98.7319703
"30","megdscott","Mississippi, USA",32.3546679,-89.3985283
"31","happy_meal41","Louisville, KY",38.2526647,-85.7584557
"32","Freeholdchiro","Freehold, NJ",40.2136754,-74.3000878
"33","PDXJenni","Portland, OR",45.5122308,-122.6587185
"34","tamiflu_precure","<U+3088><U+3053><U+306F><U+307E>",35.4437078,139.6380256
"35","Sarah_Says__","Toledo, Ohio",41.6528052,-83.5378674
"37","tialouease","Arkansas",35.20105,-91.8318334
"38","travisbyday","Accrual World",35.196606,-80.767434
"39","toppediatrician","St Petersburg, FL",27.7676008,-82.6402915
"40","le_bon_gars","Ile-de-France, France",48.8499198,2.6370411
"41","SemsaManaus","Manaus, Brasil",-3.1190275,-60.0217314
"43","ind3fatigable","in a strange place",38.93654,-94.384627
"44","familybiznas","Norfolk, Va",36.8507689,-76.2858726
"45","AndreaMG6788","Texas, USA",31.9685988,-99.9018131
"46","doctorMarkyMark","Atlanta, GA",33.7489954,-84.3879824
"47","JillGrimesMD","Austin, TX",30.267153,-97.7430608
"48","MadaleineGray","Nashville, TN",36.1626638,-86.7816016
"50","tonyapb3","Iowa Falls, IA",42.5198868,-93.2645741
"51","tworavensbrew","Newark, DE",39.6837226,-75.7496572
"53","colorofyaenergy","Johnson City, TN",36.3134397,-82.3534727
"54","nataliefsx","Colorado, USA",39.5500507,-105.7820674
"55","dellarants","Texas, USA",31.9685988,-99.9018131
"56","akaninn0722","<U+5343><U+8449><U+770C>",35.6050574,140.1233063
"57","wpnofassdstrctn","Oklahoma, USA",35.0077519,-97.092877
"58","dhoomonyou","Florida, USA",27.6648274,-81.5157535
"59","EBmedicine","Norcross, GA",33.9412127,-84.2135309
"61","tamiflu__shrine","<U+4F1A><U+793E>",37.2691528,-95.5559753
"62","acstaton","Huntsville, AL",34.7303688,-86.5861037
"64","socie","Philadelphia, PA",39.9525839,-75.1652215
"65","PetersonJeffE","Anchorage, AK",61.2180556,-149.9002778
"66","Southwest_Texan","Texas, USA",31.9685988,-99.9018131
"67","MegTheSavage","West Virginia, USA",38.5976262,-80.4549026
"68","mkashiouris","Richmond, VA",37.5407246,-77.4360481
"71","L_E_Y_","<U+5C71><U+5F62> <U+3059><U+3093><U+3058><U+3087>",38.2404355,140.3636333
"74","jbavousett","1 AU from Sol, near Dallas",32.7766642,-96.7969879
"75","MrsVonDoom","Kitchener, Ontario",43.4516395,-80.4925337
"77","JudgeHopkins","Missouri, USA",37.9642529,-91.8318334
"78","allyc375","London",51.5073509,-0.1277583
"79","peeray4","Tennessee, USA",35.5174913,-86.5804473
"81","karenellen45","Florida's Space Coast",28.3542063,-80.7260209
"82","yuuhei0314","Fukuyama-shi, Hiroshima",34.4858993,133.3623127
"83","martiins_ad","Km 0 Br-174",-7.2305067,-60.6495567
"84","hua_zhong","San Jose, CA",37.3382082,-121.8863286
"85","DianaSheridan11","Chertsey, Surrey",51.386491,-0.509456
"86","Christa0003","Tennessee, USA",35.5174913,-86.5804473
"87","JCMentorMom","California, USA",36.778261,-119.4179324
"89","RX_78_zaku","<U+611B><U+77E5>",35.1801883,136.9065647
"90","Maureenqueen","Houston",29.7604267,-95.3698028
"91","CaitlynMooneyMD","San Antonio, TX",29.4241219,-98.4936282
"93","ohiodisneydad","Ohio, USA",40.4172871,-82.907123
"94","AttorneyUrso","Stamford, CT",41.0534302,-73.5387341
"95","FOX19Tricia","Cincinnati, OHIO",39.1031182,-84.5120196
"96","SamMorgan621","Mountains",34.7328466,-98.7131984
"98","PetalSettle","Reality",37.032872,-95.6318183
"99","Cleggan1","Cleggan",53.556598,-10.1121917
"100","belindalacoste","Dallas, Texas",32.7766642,-96.7969879
"102","NightNurseSteph","Arkansas, USA",35.20105,-91.8318334
"103","lovemadle","Texas, USA",31.9685988,-99.9018131
"106","eksamhammer","Syracuse, NY",43.0481221,-76.1474244
"107","DrvanTilburg","Chapel Hill, NC",35.9131996,-79.0558445
"108","EvyDimova","Clay, NY",43.1856814,-76.1717547
"109","DrCJohns","Annapolis, MD",38.9784453,-76.4921829
"110","nisssa_","Texas",31.9685988,-99.9018131
"111","chroniclateness","New York, New York",36.1023715,-115.1745559
"112","Rustyg62","Tahlequah , Ok./ greenville Ms",35.91537,-94.969956
"113","_TJR88","Abbotsford, British Columbia",49.0504377,-122.3044697
"114","Kunzitoons","California, USA",36.778261,-119.4179324
"115","billredwine","Morehead, KY",38.1839705,-83.4326841
"116","ArikasRamblings","PNW, Washington, USA",47.7510741,-120.7401385
"117","xolovecourtneyy","New York",40.7127753,-74.0059728
"118","katielachelle","Praying & Focusing",36.0520373,-95.956614
"119","kiitos3003","Japan",36.204824,138.252924
"120","TcameronTodd","Melbourne, Victoria",-37.8136276,144.9630576
"121","YordaYou","Paris",48.856614,2.3522219
"122","LeadChangeTrish","Los Angeles",34.0522342,-118.2436849
"124","LoriRuder","Cleveland, OH",41.49932,-81.6943605
"125","OSUEMEdu","Columbus, OH",39.9611755,-82.9987942
"126","RavingToyManiac","Sunny Colorado",38.8446032,-104.783748
"127","mbuhtz","Massachusetts",42.4072107,-71.3824374
