"","screenName","location","latitude","longitude"
"1","jonassantospin","Parintins, Amazonas-Brasil",-2.633616,-56.7319696
"2","BlogDeAmazonia","Parintins, AM, Brasil",-2.633616,-56.7319696
"3","mkn_kvn_","Manaus",-3.1190275,-60.0217314
"4","HStragliotto","Manaus, Brasil",-3.1190275,-60.0217314
"5","QuantumRebirth","digital nomad",33.5661227,-84.5846142
"6","vitoriaposselt","RO/AM",37.78768,-122.433873
"7","dadaXpicanha","Em CWB, mas de Perna&Buco ",-25.4808762,-49.3044253
"8","famfightflu","Arlington, VA",38.8816208,-77.0909809
"9","cbnamazonia","Brasil",-14.235004,-51.92528
"10","MarcoBo14299061","Zapopan, Jal. México.",20.6719563,-103.416501
"11","MJtaughtYou","Sunshine State <U+2600>",27.6648274,-81.5157535
"12","Lucassneidjer","Manaus, Brasil",-3.1190275,-60.0217314
"13","ACritica","Manaus - Amazonas - Brasil",-3.1190275,-60.0217314
"14","pauloapurina","Manaus, Brazil",-3.1190275,-60.0217314
"15","TOIAhmedabad","Ahmadabad City, India",23.022505,72.5713621
"16","thksbeatriz","br 092",NA,NA
"17","warriormama1019","The Land of the FREE",37.09024,-95.712891
"18","uenandaline","Manaus, Brazil",-3.1190275,-60.0217314
"19","xingxila","<U+0001D674><U+0001D687><U+0001D67E> (+<U+0001D692><U+0001D67A><U+0001D67E><U+0001D67D><U+25AA><U+0001D681><U+0001D685><U+25AA><U+0001D67E><U+0001D67C><U+0001D676>)",NA,NA
"20","SophiaShinohara","Roraima, Brasil",2.7375971,-62.0750998
"21","ClanH1N1","YouTube",36.1353638,-95.9893257
"22","oficialedney","Manaus, Brazil",-3.1190275,-60.0217314
"23","APPRISE_CRE","Australia",-25.274398,133.775136
"24","onofremartins","Manaus-Am",-3.1190275,-60.0217314
"25","rosebsound","Neverland <U+0001F1E7><U+0001F1F7>",NA,NA
"26","MarcosSantosAM","Manaus AM",-3.1190275,-60.0217314
"27","Arthurvneto","Manaus, Brasil",-3.1190275,-60.0217314
"28","OMNIHospital","Guayaquil, Ecuador",-2.1709979,-79.9223592
"29","SimoneMariaFra3","Manaus, Brasil",-3.1190275,-60.0217314
"30","pjuliana_","Manaus, Amazonas",-3.1190275,-60.0217314
"31","alinxlopes","infp",NA,NA
"32","PlinioValerio45","Manaus, Brazil",-3.1190275,-60.0217314
"33","reporter_am","Manaus-AM",-3.1190275,-60.0217314
"34","PrefManaus","Manaus, Brasil",-3.1190275,-60.0217314
"35","pacifycim","LOX ",42.054084,-73.956754
"36","ratumbele","Manaus, Brasil",-3.1190275,-60.0217314
"37","MaahilMohamed","Malé, Maldives",4.1754959,73.5093474
"38","sidneyleite_","Amazonas",-3.4168427,-65.8560646
"39","SemsaManaus","Manaus, Brasil",-3.1190275,-60.0217314
"40","gphabuzz","Atlanta, GA",33.7489954,-84.3879824
"41","MARCONDESMACIE1","PARINTINS",-2.633616,-56.7319696
"42","FOGAZILLA","Toronto, Ontario",43.653226,-79.3831843
"43","ElaineVeras","Brasil",-14.235004,-51.92528
"44","ronaldo282004","Manaus-Amazonas-Brasil",-3.1190275,-60.0217314
"45","VictorFogassa","Manaus, Brasil",-3.1190275,-60.0217314
"46","ci___la","Manacaos, Amazonas",NA,NA
"47","eaecaue","Só não repara a bagunça",NA,NA
"48","conner_junior","Knoxville, IA",41.320343,-93.09967
"49","psdcamara","Brasília, DF",-15.826691,-47.9218204
"50","bitchcrfts","Manaus, Brazil",-3.1190275,-60.0217314
"51","Robin_Fussell","Huntsville, AL",34.7303688,-86.5861037
"52","percyw4it","Camp Half-Blood",33.9431463,-84.2152691
"53","juaangabriel","Manaus, AM",-3.1190275,-60.0217314
"54","manuellinhas","Manaus",-3.1190275,-60.0217314
"55","marileiasayxas","Brazil",-14.235004,-51.92528
"56","portalemtempo","Manaus - Amazonas",-3.1190275,-60.0217314
"57","nosso_am","Manaus",-3.1190275,-60.0217314
"58","duduazedo","manaus",-3.1190275,-60.0217314
"59","cablocoam","Floresta Amazônica",-3.4653053,-62.2158805
"60","key_wins","Manaus",-3.1190275,-60.0217314
"61","ranmiomir","Niš, Srbija",43.3209022,21.8957589
"62","fatoamazonico","Manaus, Brasil",-3.1190275,-60.0217314
"63","bornttollg","i'll be your lifeline @jzmiefraser",NA,NA
"64","vonivar","-16.683649,-49.268102",-16.6837017,-49.2680787
"65","labelledejouurr","manaus",-3.1190275,-60.0217314
"66","KikaSanFrei","Manaus, Brasil",-3.1190275,-60.0217314
"67","jornalfloripa","Florianópolis, Santa Catarina",-27.5948698,-48.5482195
"68","portald24am","Manaus, Amazonas",-3.1190275,-60.0217314
"69","mattssiqueira","Manaus, Brasil",-3.1190275,-60.0217314
"70","viirus_h1n1","Azerbaijan",40.143105,47.576927
"71","InfectDisNews","Thorofare, NJ",39.8422093,-75.1969346
"72","xnxluisa","manaus",-3.1190275,-60.0217314
"73","unfwithful","spellman mortuary",44.9555114,-93.1145219
"74","VFM_Radio","Florida, USA",27.6648274,-81.5157535
"75","netopantoja","Manaus | Brasil",-3.1190275,-60.0217314
"76","frngabriel","Tribo dos Manaós",-3.1190275,-60.0217314
"77","sp0ndm","Manaus",-3.1190275,-60.0217314
"78","erikaaob","Manaus, Brasil",-3.1190275,-60.0217314
"79","ariansejdiu09","Taksa100%",NA,NA
"80","Boughttat","Nerdvana",33.1523022,-96.8363665
"81","hudson_lima1","Parintins - Amazonas",-2.633616,-56.7319696
"82","lulyauglm","mao city",19.558252,-71.0803291
"83","withoutsol","manaus",-3.1190275,-60.0217314
"84","manausalerta","Manaus / AM / Brasil",-3.1190275,-60.0217314
"85","pqpfreire","Manaus, Brasil",-3.1190275,-60.0217314
"86","xamibi","Manaus",-3.1190275,-60.0217314
"87","gabrielacoutooo","Manaus, Brasil",-3.1190275,-60.0217314
"88","Naeglix","Brasil",-14.235004,-51.92528
"89","DFraxe","Manaus, Brasil",-3.1190275,-60.0217314
"90","beatrizjmaia","Manaus, Brasil",-3.1190275,-60.0217314
"91","MykaRx","Manaus, Brazil",-3.1190275,-60.0217314
"92","Customary_Z7","SE Idaho",44.0682019,-114.7420408
"93","chicoterra","Macapá, AP",0.0355735,-51.070535
"94","HostAmazonas1","Manaus - AM",-3.1190275,-60.0217314
"95","Amaclassificado","Manaus, Brazil",-3.1190275,-60.0217314
"96","jorleytavares","Manaus - Amazonas ",-3.1190275,-60.0217314
"97","infoitsalute","Italia",41.87194,12.56738
"98","pressrd","Republica Dominicana",18.735693,-70.162651
"99","ZeRicardoAM","Manaus, Brazil",-3.1190275,-60.0217314
"100","FluTrackers","International Website",34.749056,-92.2806358
"101","IDAC_RD","Santo Domingo",18.4860575,-69.9312117
