"","screenName","location","latitude","longitude"
"1","joslynn_padilla","Odessa, TX",31.8456816,-102.3676431
"2","vindicatedlich","Houston, TX",29.7604267,-95.3698028
"3","straytrivias","bts skz svt btob bp | t&m • i",NA,NA
"4","natashajad3","South East, England",51.2330699,-0.5732182
"5","stichomancery","Florida, USA",27.6648274,-81.5157535
"6","Surge_Yo","Denver, Co - El Paso, Tx",31.7735978,-106.4664648
"7","taiylor_laree","hogwarts",28.4722475,-81.4736377
"8","rvsfx","<U+C774><U+D0DC><U+C6A9>; <U+B098><U+C7AC><U+BBFC>; <U+D669><U+C608><U+C9C0>",NA,NA
"9","AofANLA","Brisbane, Queensland",-27.4697707,153.0251235
"10","Revz_OW","Colorado, USA",39.5500507,-105.7820674
"11","AMARichmond","Richmond, VA",37.5407246,-77.4360481
"12","amysuggwell","lucy<U+2661>ellie",NA,NA
"13","WordsworthGwary","Room 101",33.6567432,-111.9323009
"14","flaminhotchims","too bad~ but it's too sweet",NA,NA
"15","23islands_","Miami, FL",25.7616798,-80.1917902
"16","mnorris76","Northampton, England",52.240477,-0.902656
"17","BLUE_HEADACHE","<U+D30C><U+ACE8>",NA,NA
"18","medeecine","black lives matter",33.7614059,-84.3880318
"19","Coach_WadeS","Washington, DC USA",38.9071923,-77.0368707
"20","_cozykaplan_","Rhode Island",41.5800945,-71.4774291
"21","izzyizzan","Laniakea Supercluster",NA,NA
"22","alwaysyoukissy","fan account",NA,NA
"23","ReubenJHenshaw","Hyrule ",41.5153904,-87.356455
"24","Abrams_mufc","England, United Kingdom",52.3555177,-1.1743197
"25","childish_kim","honeymoon ave.",NA,NA
"26","RobertReed003","Shenandoah Valley VA",38.4834568,-78.8497485
"27","rengedfern","kelowna",49.8879519,-119.4960106
"28","Huspisces","Myownplanet’<U+2653><U+FE0E>",NA,NA
"29","hwisaek","DM. OC. KRP. AOCNET. 0101 <U+0001F33B>",33.7174708,-117.8311428
"30","Lindyy_Lu","Coolin it in Texas <U+0001F1E8><U+0001F1F1>",31.9685988,-99.9018131
"31","__fc","Somerville, MA",42.3875968,-71.0994968
"32","Hemaanghi","<U+0001F1FA><U+0001F1F8><U+0001F1EE><U+0001F1F3>",NA,NA
"33","peebanjay","Chicago, IL",41.8781136,-87.6297982
"34","_IcedSweetKee","Texas, USA",31.9685988,-99.9018131
"35","PredPleb","Nowhere",40.7317696,-73.9841161
"36","JesterSinsanity","avi by @PRIINCE",NA,NA
"37","danthepsycho2","Sanctuary, Pandora",NA,NA
"38","shuukiyamaa","United Kingdom",55.378051,-3.435973
"39","SeanKrummel","Burbank, Ca.",34.1808392,-118.3089661
"40","Buchino_102","Somewhere in the world.",NA,NA
"41","ayeemyy_","5zero4<U+0001F48B>",NA,NA
"42","thegoonpalace_","Nicki's Crib",NA,NA
"43","GregoryEllner","New York, NY",40.7127753,-74.0059728
"44","LiamPagex","Lost",36.834603,-94.6171303
"45","lafleurmtl","Montréal, Québec",45.5016889,-73.567256
"46","thejasminemaria","Madison, WI",43.0730517,-89.4012302
"47","ShanleyLM","Canada",56.130366,-106.346771
"48","Kurtny_lovee","Philippines",12.879721,121.774017
"49","GoddesslilBaby","$100 unblock fee",NA,NA
"50","Maxiine_dee","••Far Far away••",43.177883,-73.055672
"51","beenaryCode","Alternia",NA,NA
"52","JOYDIVISlON","asstralia",-25.274398,133.775136
"53","_jeszsell","Venus",30.2851533,-81.5138602
"54","grungepastcl","Not The Real Baby Bubba",NA,NA
"55","SeniorisDK","Nigeria",9.081999,8.675277
"56","dianakelly","New York, NY",40.7127753,-74.0059728
"57","geminibuttaflyy","MD via Washington, DC",38.9029171,-77.037824
"58","TajSupreme","PG",35.976288,-94.316978
"59","FlowerchildTay_","On an island",NA,NA
"60","katyhagelin","Washington, USA",47.7510741,-120.7401385
"61","ParAwayyy","Los Banos, Laguna",14.1699121,121.2440631
"62","moannabelle","ph",36.1498952,-96.0055776
"63","BFRESH301","Cameroon",7.369722,12.354722
"64","Westygal","United States",37.09024,-95.712891
"65","GeraldLasser","Munich, Bavaria",48.1351253,11.5819805
"66","yuuyuu573","<U+5BAE><U+57CE><U+770C><U+4ED9><U+53F0><U+5E02><U+592A><U+767D><U+533A>",38.2243475,140.8771342
"67","black2kool","Isolo, Nigeria",6.535498,3.3086778
"68","josh_pancubit","C.J.M",38.6208449,-90.218875
"69","Namteerah","Valhalla ",40.7659887,-73.9874078
"70","bloodedline","nicole king",41.722532,-87.59057
"71","rainystripe","in shu’s clutches tbh",NA,NA
"72","milfgaardian","Straya",NA,NA
"73","canbernard","Sydney, Australia",-33.8688197,151.2092955
"74","andrewMI2018","On Lake Michigan",44.3148443,-85.6023643
"75","LostInKind","Somewhere in the woods.",NA,NA
"76","TexanPaula","USA",37.09024,-95.712891
"77","_jjaeee","New Jersey, USA",40.0583238,-74.4056612
"78","bluberi_sakura","PH",36.1498952,-96.0055776
"79","Pretty__Porsha","FL",27.6648274,-81.5157535
"80","snoozlessnow","West Lulworth, England",50.6259853,-2.2482557
"81","missxmoscato","not her",NA,NA
