"","screenName","location","tweetID","text","latitude","longitude"
"1","___pblake","Ireland",1102309212993015808,"Just did my first sinus rinse. Gross and a bit painful but I feel better after it. Like I am breathing for the first time.",53.1423672,-7.6920536
"2","__jaaanell"," #vstate",1100412563660013568,"i just know i’m getting a sinus infection... &amp; i’m blowed",NA,NA
"3","__noname____","<U+303D>",1100390163056902144,"It’s not even spring and my sinus already bothering me",NA,NA
"4","__PAULALEXANDER","Stockton, CA",1100806171080908800,"@BoxingNbt It's amazing how many fighters in that gym previously suffered from sinus issues, Ingles is a miracle wo… https://t.co/kpEZnohV5R",37.9577016,-121.2907796
"5","_amyshankle","California",1102123813154615296,"When you’re finally settled in bed, have your cup of tea, your hot compress for your sinus pressure, and Netflix on… https://t.co/2xe63ySBD6",36.778261,-119.4179324
"6","_arieetaughtyou","Ig:_arieetaughtyou SC:ariee012",1100870197748084736,"@_conTASIAous I go to the one on Main Street...I have a sinus infection though so I been bed bound but we can defin… https://t.co/7jrYMM1NZl",33.836081,-81.1637245
"7","_arieetaughtyou","Ig:_arieetaughtyou SC:ariee012",1100793365141094400,"Got sent home from work...this sinus infection is really tryna take me out",33.836081,-81.1637245
"8","_BarefootStudio","Tucson",1101892439923675136,"Sinus headache? Sinusitis? Sneezing, post nasal drip, watery eyes coughs?Asana practice, yoga nidra and lots of ide… https://t.co/EMfxoAvnBQ",32.2226066,-110.9747108
"9","_BellaMamacita","Rosewood",1102344302523498496,"My sinus killing me man smt",37.4195453,-122.2118704
"10","_BeRelentless_","Alabama, USA",1100132734763220992,"Screw sinus issues! https://t.co/oysEmdJhRk https://t.co/Rpi1eNLrQj",32.3182314,-86.902298
"11","_bgbuga_","I'm always @ Chick-fil-A ",1102058628444499968,"today I woke up at noon, wrote two papers, finished a project, &amp; took two showers &amp; I have a sinus infection. we are being productive YES",36.061319,-95.852036
"12","_BitchFuxkU","Edgard, LA",1100357241440530432,"Sinus Drip Is Disgusting <U+0001F62A>",30.0432578,-90.5600869
"13","_BLASZCZYK16","wattpad: VictorieDaniels",1100774266855931904,"Musze odrobic zadanie z matmy, ogarnac nowy temat czyli sinus cosinus i tangens :)) pouczyc sie na dodatkowy angiel… https://t.co/aYYgpx1waK",NA,NA
"14","_Blaze_Dragon_","Pfp by @mysterydrago101",1101929539939254272,"Yay, I got a sinus infection",NA,NA
"15","_Brei_","in your search bar",1102265233094201344,"I keep damn sneezing have sinus pressure on one side this some bs",NA,NA
"16","_brittinee__","Natchez , Ms <U+0001F4CD>",1100114360700149760,"My sinus kicking my ass right now",31.5604442,-91.403171
"17","_choromi","California, USA",1100543465782370304,"I have bronchitis, a sinus infection, and two ear infections. Stunning! https://t.co/mJWdRrebcD",36.778261,-119.4179324
"18","_du_scarlett_","Sacramento, CA",1100432698860920832,"If you have a sinus infection, pls cancel class and GO HOME",38.5815719,-121.4943996
"19","_Gelo01","Johannesburg, South Africa",1100813480758792192,"Nna ka leso laka Khopela lesang khrupetsang ka MMU kenale di sinus!! https://t.co/RZrUxNG72R",-26.2041028,28.0473051
"20","_heyyTAY","Richmond, VA",1100760808064200704,"I don’t think I’ve ever had a sinus infection this bad. my ears hurt <U+0001F62D>",37.5407246,-77.4360481
"21","_jfc3mma","Illinois, USA",1100829445806538752,"This sinus pressure is stupid asf",40.6331249,-89.3985283
"22","_jinrian_","somewhere in the usa",1100337080163540992,"@z_zzzzz_zz_ @ShinyBabe_ @LexJoonMin @KookiesnTae94 @lakegarnet @Princesschoices @WeirdPandaBeyah I can't see their… https://t.co/LKrzT7Jnr3",37.09024,-95.712891
"23","_kaburi_","Seattle, WA",1102088246635327488,"@Swedebit Yeah, but especially in Seattle the chances of me finding a doctor who won't just blame everything on my… https://t.co/x3lxiMYoEW",47.6062095,-122.3320708
"24","_kaitlynb","Florida, USA",1100482201769123840,"I’m so over this sinus infection <U+0001F62B>",27.6648274,-81.5157535
"25","_karabohlali","012",1100862594032824320,"My sinus medicine is finished, wow when it rains it pours.",26.2570733,-80.2019339
"26","_kaypass_","Forever a Lake Effect Kid",1101529770649624576,"Have had sinus pain pretty much everyday since November. I thought it was a chronic sinus infection but apparently… https://t.co/qXWAL7IPgd",NA,NA
"27","_kgautrain","012",1102094953847685120,"You guys ama sinus <U+0001F62D><U+0001F62D>",26.2570733,-80.2019339
"28","_KileiPope","Tess & Ruth",1100412991554506752,"I’m DYING with all these allergies and sinus headaches <U+0001F915>",43.063627,-87.889464
"29","_lizharvey","CHICAGO",1100469545553285120,"God rly was Machiavellian when designing the sinus part of human immune systems. and also prolly machiavelli hiself, idk history just vocab",41.8781136,-87.6297982
"30","_mabxlle","costa leona // jax",1102256799313408000,"sakit kaayo akong lawas + lain kaayo akong paminaw + sinus + kakapoy",NA,NA
"31","_miellieseok","Nottingham, England",1101408421759217664,"Tangina sino ang leader ng ACLS team neto??
HOY NASAN ANG EPINEPHRINE NINYO?! BAT NAG DEFIB KAYO EH MAG CPR PA NG 5… https://t.co/H8QLebO1V8",52.9547832,-1.1581086
"32","_murclur","Chicago, IL",1100160287955668992,"The best birthday gift I could have gotten would be an appointment with my sinus doctor. And guess who I get to see… https://t.co/WXcYsoCW6E",41.8781136,-87.6297982
"33","_Nat_Ali","France",1101456828599332864,"@Opkrotte A croire que ces sinus avaient une dent contre lui B)",46.227638,2.213749
"34","_nia_037","Auf'm Festivalgelände",1101456324339085312,"@YtAnimick Sinus, Cosinus, Tangens :((",NA,NA
"35","_NillaWiffle_","Pacific North West",1101921043684372480,"Dear tooth that is hurting, please be part of the weird sinus thing I'm having and not an actual tooth problem. You… https://t.co/UG8YxL3JkB",45.5272148,-122.6779081
"36","_officialbrii_","Portmore",1101394503179603968,"@dayne_876 I just hope its sinus",17.9611269,-76.8893907
"37","_OhForFoxSake_","Villa Rica, GA",1100162466502397952,"Tylenol Sinus helping 0%",33.732052,-84.9191081
"38","_omgigi_","Paisley Park",1101857238472450048,"good morning from me and my sinuses! which have been greatly improved by MY FACIAL STEAMER i don’t steam my face of… https://t.co/CUwLGH8Tw1",44.861697,-93.5606357
"39","_rin_46","Georgia, USA",1101702893965639680,"@jenbrea I don't know why or how, but It sends me straight into a panic attack. Like. The day of the first dose. La… https://t.co/GxtL2sJgIn",32.1656221,-82.9000751
"40","_SalvadorDolly","West Virginia",1101888795564261376,"Mike: hey babe i have the stomach flu so ill see you in like 3 days

*3 days later*

Mike: hey babe sorry i have a… https://t.co/Z7x1ffhnfd",38.5976262,-80.4549026
"41","_sanjaypatel","Dreamville",1102351691423367168,"@Rabsss_ Lmao I’m deadass though...a straight mint hookah fixes sinus issues all the time",40.7737939,-74.0254281
"42","_savsx","a l v i n , t x",1101600209358991360,"sinus infections suck..",29.4238472,-95.2441009
"43","_SkyeykS","Trinidad and Tobago",1100731679490994176,"Waking up with sinus attack is the fuckinn worst!",10.691803,-61.222503
"44","_smromero","New York, NY",1102323957246640128,"I am willing myself to feel better because I’m feeling a bit achy and am having sinus issues <U+0001F643>",40.7127753,-74.0059728
"45","_stephsauce_","Trinidad and Tobago",1102259498213933056,"My sinus fucking with me and it needs to not <U+0001F62B>",10.691803,-61.222503
"46","_StonedWxlf","Megalonia",1100419289553620992,"My sinus on that bullshit today",NA,NA
"47","_StonedWxlf","Megalonia",1100483280481239040,"My sinus has been fucking me all day",NA,NA
"48","_summerschuler_","Goose Lake, IL",1101224181306413056,"I’ve had this sinus headache for like almost 2 weeks now and I can’t deal",41.3588337,-88.314212
"49","_Terpsichora_","Commune de Rennes 2",1100903686576975872,"@CO__Sinus Dis toi qu'on doit repasser une épreuve du S1 parce qu'ils se sont trompés dans les modalités de contrôl… https://t.co/mGNxeEvGLk",48.117266,-1.6777926
"50","_terroirism_","New York City, New York",1101620347886014464,"@jesseraub and your sinus cavity will thank you, provide you with endless insta content, and maybe even a few suprises!",40.7127753,-74.0059728
"51","_Thanda","Worldwide",1101389203861061632,"Sinus skrr skrr. https://t.co/22K0MoyWrF",36.249758,-95.266826
"52","_The_Love_Birds","Ruston, LA",1100710060400017408,"Between a certain organ being irritable &amp; my sinus headache it doesn't look like I'm gonna get much sleep right now… https://t.co/U7dX87bjBU",32.5232053,-92.637927
"53","_thelindsaye","Texas",1100474912794386432,"idk if this is a sinus headache or regular, but i took sinus medicine so..",31.9685988,-99.9018131
"54","_TJR88","Abbotsford, British Columbia",1100859044821065728,"Doc gave me Tamiflu for my issues but I dont think I got the flu lol
Headache and cheek/sinus pain. Took one pill b… https://t.co/RR73EN5VdL",49.0504377,-122.3044697
"55","_TJR88","Abbotsford, British Columbia",1100890116883591168,"@DrGRuralMD @reepRN @LoriRuder I dont believe I have the flu (No fever, no congestion no runny nose)
Only have sinu… https://t.co/C2f4AI65sz",49.0504377,-122.3044697
"56","_TJR88","Abbotsford, British Columbia",1100871757265653760,"@flyingfingers73 Lets hope......on day 6 of this sinus pressure/eye headaches......

Frustrating",49.0504377,-122.3044697
"57","_UpInTheAyres","Johannesburg, South Africa",1100761442507202560,"Do I feel like I smoked an entire 3 joints at work (because of taking arguably too much sinus medication)? 
Yes.

H… https://t.co/M7UNWZJAWt",-26.2041028,28.0473051
"58","0224_ringo","<U+5E38><U+306B><U+96E8><U+4E0A><U+304C><U+308A><U+306E><U+56FD><U+3001><U+305F><U+306C><U+304D><U+3084><U+3089><U+304C><U+5C45><U+308B><U+8239><U+306E><U+4E0A><U+3001><U+3044><U+3061><U+3054><U+306E><U+56FD>etc.",1102153439495118848,"@Sinus_FusionBoy <U+304A><U+3081><U+3067><U+3068><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059>!!
<U+304A><U+76EE><U+76EE><U+3060><U+3051><U+3067><U+3082><U+30AC><U+30F3><U+898B><U+3057><U+307E><U+3059>!!",NA,NA
