"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hay que destacar que las fronteras de los países son permeables a los virus, ya lo padecimos en la epidemia de infl… https://t.co/HedzfKbF5E",FALSE,0,NA,2019-02-16 23:51:19,TRUE,NA,"1096919986126245889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unirendgi01",0,FALSE,FALSE,NA,NA
"2","This appears to be true (see below)

President Barack Obama
Oct. 23, 2009: Declaration of a National Emergency With… https://t.co/c3oAByVv40",FALSE,0,NA,2019-02-16 23:50:37,TRUE,NA,"1096919812671000577",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DavidCaf",0,FALSE,FALSE,NA,NA
"3","@TertiusIII @Jesus_is_G_d @RubrumDiaboli @umfpt @hauxton @mawson_craig @DoesnAbout @Herceramus @_zero_gravitas… https://t.co/6piFrSRtOt",FALSE,2,"TertiusIII",2019-02-16 23:35:43,TRUE,"1096877659232129026","1096916060782149632","200713026","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TakeThatEpi",0,FALSE,FALSE,NA,NA
"4","@TarikSaqi @mouadcom C'est dommage, il fallait faire un tour au salon du livre pour comprendre qu'il ne faut le vac… https://t.co/EL50iWPRgk",FALSE,1,"TarikSaqi",2019-02-16 23:08:13,TRUE,"1096907811609554944","1096909140868415488","571328041","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","azizzaghari68",1,FALSE,FALSE,NA,NA
"5","i seriously have fever...

a few days ago i was infected with H1N1 and its shit...

huulp.",FALSE,0,NA,2019-02-16 22:53:15,FALSE,NA,"1096905375314522112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","viralgreek",0,FALSE,FALSE,NA,NA
"6","Two more succumb to H1N1, death toll reaches 18 https://t.co/AdvLIYVCKT",FALSE,0,NA,2019-02-16 22:39:29,FALSE,NA,"1096901908906823681",NA,"<a href=""http://www.toi.in"" rel=""nofollow"">cmssocialservice</a>","TOICitiesNews",0,FALSE,FALSE,NA,NA
"7","https://t.co/VplhY2YabX",FALSE,0,NA,2019-02-16 22:34:38,FALSE,NA,"1096900689886883841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Akpolitikahaber",0,FALSE,FALSE,NA,NA
"8","@stevemishket Exactly
Because it had the hallmark of a pending epidemic
'Although there has been no exact count, of… https://t.co/QlAjMosVta",FALSE,0,"stevemishket",2019-02-16 22:29:35,TRUE,"1096773954247766016","1096899420845735937","18463092","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Porgybait",0,FALSE,FALSE,NA,NA
"9","@PreguntaMama Así es a vacunarse!!! Cuantas enfermedades han logrado evitarse recuerden antiguamente las epidemias… https://t.co/nFPfm3OvPJ",FALSE,0,"PreguntaMama",2019-02-16 22:16:33,TRUE,"1096739629737349121","1096896140769927169","234808306","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Margot2009",0,FALSE,FALSE,NA,NA
"10","@Scavino45 @realDonaldTrump The path on this seems pretty unassailable.  90% of illegal drugs coming thru the south… https://t.co/y0fDmgg73B",FALSE,0,"Scavino45",2019-02-16 21:56:31,TRUE,"1096628767701848064","1096891095475208192","823367015830323201","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kyriel007",0,FALSE,FALSE,NA,NA
