"","screenName","location","latitude","longitude","state","tweetID","text"
"1","_____nichole","New Jersey, USA",40.0583238,-74.4056612,"New Jersey",1100175475022970880,"I decided after this flu is over (if it ever ends tbh I feel like I’ll be sick forever) I’m gonna go on a diet and… https://t.co/PMZpgH9zQH"
"2","__heverton","Brooklyn, NY",40.6781784,-73.9441579,"New York",1100541252720832512,"@rafaelsennaa_ Marcos jr ta no flu mas não?"
"3","__mbaeli","Johannesburg, South Africa",-26.2041028,28.0473051,"Kansas",1100892390041231360,"These flu meds are about to knock me tf out and I’m for it"
"4","__mickkyy","Oklahoma, USA",35.0077519,-97.092877,"Oklahoma",1102355950063767552,"i have the flu and I feel like dying <U+0001F622>"
"5","_Adrianna_Lima","Minneapolis, MN",44.977753,-93.2650108,"Minnesota",1100173458154115072,"@AJ_Schneider That many people people packed in a building during flu season, so many germs. Hope they're all vaccinated."
"6","_annacathleen_","North Carolina, USA",35.7595731,-79.0192997,"North Carolina",1101976275596525568,"0/10: do not recommend the flu"
"7","_ashleejohnson","Florida ",27.6648274,-81.5157535,"Florida",1100175170893942784,"You ever just have both flu a and b, because me and I’m very deep into that right now"
"8","_austinsydney","LA <U+269C><U+FE0F>",29.9687669,-90.0697051,"Louisiana",1101263150501019648,"All jokes aside y’all... this my 1st time in life having the flu &amp; I’m miserable."
"9","_austinsydney","LA <U+269C><U+FE0F>",29.9687669,-90.0697051,"Louisiana",1101619675690123264,"My landlord just asked me how I look this good with the flu <U+0001F61C>"
"10","_Bella__Faith","Gillette, WY",44.2910915,-105.5022205,"Wyoming",1100177281744482304,"Tooth infections can make you feel like you have the flu and the pain is the worst pain you will ever feel in your life."
"11","_davidzx","San Antonio, TX",29.4241219,-98.4936282,"Texas",1101261216771649536,"I think I have the flu, this is bullshit"
"12","_DesPain_","'Burbs, Ma USA ",42.4072107,-71.3824374,"Massachusetts",1101631850013962240,"@snuggieelove Shits dope after you survive that “flu” lol"
"13","_herobae","New Orleans, LA<U+269C>",29.9510658,-90.0715323,"Louisiana",1101267431878782976,"The flu is weird. One minute I feel absolutely fine then 2 seconds later I swear I’m dying."
"14","_heykaro","Tampa, FL",27.950575,-82.4571776,"Florida",1101985050399334400,"Forget baby fever I have the mf baby flu, I want a child :("
"15","_heyyTAY","Richmond, VA",37.5407246,-77.4360481,"Virginia",1100900281066377216,"how do you know if you have the flu?"
"16","_itsleslayy","Dallas, TX",32.7766642,-96.7969879,"Texas",1100900915584925696,"I got the flu shot today and I am getting the flu symptoms like <U+0001F644><U+0001F644><U+0001F644>"
"17","_nayrain","RockHill SC",34.9248667,-81.0250784,"South Carolina",1100896630759395328,"This flu kicking my ass <U+0001F629><U+0001F622>"
"18","_prettyahja","Long island , NY",40.789142,-73.134961,"New York",1101267302459367424,"I dealer got the flu. I couldn’t even go to my next class. Boutta just go to sleep <U+0001F615>"
"19","_RachealBaby","St Louis, MO",38.6270025,-90.1994042,"Missouri",1100538795185836032,"Its official, I have the flu... am I really a public health major if I didn’t get vaccinated <U+0001F926><U+0001F3FD><U+200D><U+2640><U+FE0F> this could have all been avoided lol"
