"","screenName","location","latitude","longitude","state","tweetID","text"
"1","_APCI","Bessemer, AL",33.4017766,-86.954437,"Alabama",1100421503525535744,"At the start of the #flu season, the predominant strain was influenza A H1N1, but now a more severe strain, influen… https://t.co/xQMF0K1S55"
"2","_medjournal","Las Vegas",36.1699412,-115.1398296,"Nevada",1100675162498842624,"An I436N substitution confers resistance of influenza A(H1N1)pdm09 viruses to multiple… https://t.co/afMCT6PwaB"
"3","4Deplorables","Traveling the USA+",43.2136626,-77.439723,"New York",1101861640444788736,"CDC: Dangerous flu strain overtakes H1N1 this season https://t.co/N09onsv1De"
"4","AlexMars23","Manchester, NH",42.9956397,-71.4547891,"New Hampshire",1102234927121293312,"@FarnellPatrick H1N1 patient zero"
"5","AlmightyKwon","Panama City, FL",30.1588129,-85.6602058,"Florida",1100857850866352128,"Aye anybody wanna tell me what happened to the H1N1 disease.... or Ebola..... or even the bath salt zombie thing that was going on? <U+0001F914>"
"6","anagabrielabaii","mendes ",40.7608371,-73.9839289,"New York",1101095737910353920,"antes aqui nos estabamos muriendo por el a h1n1 y ahora nos estamos muriendo por picaduras de garrapatas, vamos de mal en peor"
"7","bangtanytime","<U+300C>yoonminjin <U+2661> afnj <U+2661> books<U+300D>",40.0583238,-74.4056612,"New Jersey",1102257675637800960,"poxa queria tomar um sorinho mas o ar do hospital deve ta puro h1n1"
"8","Bebox64","Scranton, PA",41.408969,-75.6624122,"Pennsylvania",1100204570175856640,"<U+0647><U+0647><U+0647><U+0647> <U+0639><U+0633><U+0649> <U+0641><U+064A><U+0647> <U+0645><U+0645><U+0644><U+0643><U+0629> H1N1 #PS4share https://t.co/wc0hyXyyjW"
"9","BenjaminHCCarr","New York",40.7127753,-74.0059728,"New York",1100443327370092544,"#CDC warns of severe #flu strain 'wave'
At start of flu season, the predominant strain was influenza A #H1N1, but n… https://t.co/MlGuPuRrOZ"
"10","BertrandSandjo2","Lubbock, TX",33.5778631,-101.8551665,"Texas",1102077829653647360,"Quick Facts About the Flu:

Humans are normally infected by human influenza viruses (H3N2, H1N1 and B) and form the… https://t.co/oryM8DE1aL"
"11","BertrandSandjo2","Lubbock, TX",33.5778631,-101.8551665,"Texas",1102073114459021312,"Quick Facts About the Flu:

In children, gastrointestinal (GI) manifestation (nausea, vomiting, diarrhea) may accom… https://t.co/YKQxvs0YCS"
"12","BertrandSandjo2","Lubbock, TX",33.5778631,-101.8551665,"Texas",1102077421841498112,"Quick Facts About the Flu:

There are 16 different hemagglutinin subtypes and 9 different neuraminidase subtypes. T… https://t.co/A3GWgLf9XZ"
"13","borboIeta","hogwarts",28.4722475,-81.4736377,"Florida",1101676848201822208,"adoro ver vocês indo pra bloco de carnaval na mesma época que ta tendo surto de H1N1, inclusive vou ver a seleção n… https://t.co/1NTH54nW05"
"14","Boughttat","Nerdvana",33.1523022,-96.8363665,"Texas",1100529482815946752,"<U+0634><U+0646><U+0648> <U+062F><U+0631><U+062A> <U+0627> <U+0633><U+064A><U+062F><U+064A> <U+0631><U+0628><U+064A> <U+0641><U+062D><U+064A><U+0627><U+062A><U+064A> <U+0644><U+064A> <U+062A><U+0644><U+0648><U+062D><U+0646><U+064A> <U+0641><U+0628><U+0644><U+0627><U+062F> <U+0641><U+064A><U+0647><U+0627> <U+0628><U+0646><U+0627><U+062F><U+0645> <U+0643><U+0627><U+064A><U+062F><U+064A><U+0631> remix <U+062F><U+064A><U+0627><U+0644> pikalti <U+0645><U+0639> h1n1.."
"15","brenalbuquerque","Beacon Hills",42.3587999,-71.0707389,"Massachusetts",1101582751499726848,"Agora tô esperando pra fazer um raio-x, mas pelo menos já sei que H1N1 eu não tenho."
"16","CardiffGiants","New York, NY",40.7127753,-74.0059728,"New York",1100597986009251840,"@SeanWoodard18 @Surabees @DonaldJTrumpJr You know Obama declared an emergency for the H1N1 virus right? To protect… https://t.co/MtZ8CKHutI"
"17","ClanH1N1","YouTube",36.1353638,-95.9893257,"Oklahoma",1100157434755248128,"@YouTubeGaming Yes, We r unterested! And guys, if you want to know our channel, just search for H1N1 Clan on YouTub… https://t.co/9Yw5ydG0As"
"18","cluhp","092",39.0080755,-94.2699061,"Missouri",1101301031500242944,"Tô ficando doente. Só não sei se é gripe normal ou H1N1 <U+0001F914>"
"19","conner_junior","Knoxville, IA",41.320343,-93.09967,"Iowa",1100125995141603328,"@cynthiastruth2 @justinamash Just out of curiosity do you know what those National Emergencies were? One to allow H… https://t.co/MypmSjLMhi"
