"","screenName","location","latitude","longitude","state","tweetID","text"
"1","___JazzyJas","Southside Raleigh, NC",35.8689245,-78.7288302,"North Carolina",1101990176870592512,"Need this headache to go away"
"2","___marieeejaeee","Oxford, AL",33.6142714,-85.8349648,"Alabama",1100897486435160064,"I got a headache <U+0001F615>"
"3","__fc","Somerville, MA",42.3875968,-71.0994968,"Massachusetts",1100182408933097472,"@LorraineReagan @pcon @CursedtoFirst I tried to make that analogy work and gave myself a headache."
"4","__ForeignRoz","Detroit, MI",42.331427,-83.0457538,"Michigan",1102350686992457728,"I have a headache I need to eat"
"5","__iBreakHearts","Columbia, SC",34.0007104,-81.0348144,"South Carolina",1100896749646987264,"this headache just won’t go away <U+0001F616>"
"6","__mikkkk","Richmond, VA",37.5407246,-77.4360481,"Virginia",1101623941796413440,"I have a terrible headache"
"7","__mikkkk","Richmond, VA",37.5407246,-77.4360481,"Virginia",1101627446099611648,"I got a headache and I just want to take these pants off <U+0001F62B>"
"8","__nikaboo","Tupelo, MS",34.2576066,-88.7033859,"Mississippi",1102345931717033984,"Headache <U+0001F62B>"
"9","__SlimTing","7.five.SEVEN",30.265596,-97.743373,"Texas",1102349279652446208,"If you messing w/him knowing he messing w/her &amp; them... <U+0001F5E3>LET HIS ASS GO! It’s not worth the headache them “I’ll bel… https://t.co/9R3DvoIvpg"
"10","_AllDaii","My own lane",33.0465019,-96.858026,"Texas",1101268031018287104,"I have a headache <U+0001F644>"
"11","_barbiegirl11_","Michigan, USA",44.3148443,-85.6023643,"Michigan",1100541369603579904,"@leledaboss_ Wtf lol headache diary?! That’s bogus af... I’m sorry. Excederine &amp; coke a cola have helped me too. I… https://t.co/mGoZfIHWcZ"
"12","_BasedOnMi","Winterville, NC",35.529051,-77.4010762,"North Carolina",1101975887963217920,"headache from hell <U+0001F62B>"
"13","_breaddd","the North",35.4617956,-97.649336,"Oklahoma",1101984070412701696,"@stjernesky Remind me some other time, I got a headache from all of the noise. @SpacePlant might be able to tell yo… https://t.co/2PNTHZ9Bt9"
"14","_brookeyfbaby","O<U+02BB>ahualua, Hawai<U+02BB>i",19.8967662,-155.5827818,"Hawaii",1100172042400219136,"i’ve had a headache every day since they shaved off my head mole and this must be a sign that i’m going to die soon"
"15","_cartreal","Tally/MS",31.9798472,-89.2855615,"Mississippi",1100177671944839168,"When I have a headache my patience runs very thin"
"16","_chellybby","Atlanta, GA",33.7489954,-84.3879824,"Georgia",1101269386801885184,"finna smoke this blunt &amp; lay down .. headache out this world.."
"17","_cozykaplan_","Rhode Island",41.5800945,-71.4774291,"Rhode Island",1100182891747819520,"My doctor thinks my headache is actually a migraine-"
"18","_diyanazlkfely_","Washington, USA",47.7510741,-120.7401385,"Washington",1101988013855387648,"Ayoyo bad headache is comin"
"19","_egii_","Brooklyn Bred*",40.6781784,-73.9441579,"New York",1100178095091400704,"I’ve had a headache since I woke up<U+0001F926><U+0001F3FD><U+200D><U+2640><U+FE0F>"
"20","_erinmichelle__","843",32.9170585,-80.0285598,"South Carolina",1100539440110424064,"I have a headache from the pits of hell rn omggg"
"21","_exclusiveKee","Smiths, AL",32.5401393,-85.0985473,"Alabama",1102342950149865472,"` at least I don’t have a headache <U+0001F64C><U+0001F3FD>"
"22","_HelloJenny","Palmdale",34.5794343,-118.1164613,"California",1100540764440821760,"I have the biggest headache ever"
"23","_IcedSweetKee","Texas, USA",31.9685988,-99.9018131,"Texas",1100182290100088832,"Got a real bad headache !"
"24","_Ichigo_Kitty_","New Jersey, USA",40.0583238,-74.4056612,"New Jersey",1102344800131530752,"@animagic4u oh?? Do you know of one that actually WORKS? I tried another photo book website and it also appeared to… https://t.co/etJkm2zwEe"
"25","_iCOMPLETEyou","MississippiStateUniversity<U+2764><U+FE0F>",33.4551742,-88.7943766,"Mississippi",1100178990352999936,"My face has been so tense today <U+0001F62D>I’ve given myself a headache <U+0001F974>"
"26","_inkyytee","301",37.2256801,-95.706922,"Kansas",1100540842350206976,"I hate when my ponytail gives me a headache <U+0001F915> it was so cute and now i had to take it down"
"27","_itsBRITBRAT","850 IS MY CITY",41.4998051,-81.6870929,"Ohio",1102355088931254272,"A fuckin headache with the jackasses in this generation. https://t.co/WFpKnlDlEZ"
"28","_itsMorganG","VA",36.103255,-95.8716018,"Oklahoma",1100177855114330112,"Me: Bae you need to drink some water for your headache.
Him: I just did I had a y’all glass of koolaid<U+0001F612>"
"29","_Jdugg","Prince George, VA",37.1593052,-77.2405153,"Virginia",1100908005326053376,"Can’t function with a headache"
"30","_jennystarfish_","Jacksonville, FL <U+2600><U+FE0F>",30.3321838,-81.655651,"Florida",1102342071237730304,"@ManiniAlex Not Spinal Headache?"
"31","_jeszsell","Venus",30.2851533,-81.5138602,"Florida",1100181231675805696,"I already have a headache, I don’t have time to be annoyed at my safe haven."
"32","_jjaeee","New Jersey, USA",40.0583238,-74.4056612,"New Jersey",1100180336166744064,"I need a nap I have a big ass headache"
"33","_Joeylynne","Los Angeles, CA",34.0522342,-118.2436849,"California",1100900598310821888,"had an headache at work then stepped outside n i feel a lil better.. coincidence?"
"34","_Johairi","Raleigh, NC",35.7795897,-78.6381787,"North Carolina",1102336591098466304,"I have such a headache ..."
"35","_JorDyyy_","NOLA",29.9510658,-90.0715323,"Louisiana",1100541783187095552,"I’ve had a headache since Sunday"
"36","_Julesyjewels","By the sea",41.2788808,-72.8069247,"Connecticut",1101615792616017920,"@DeniseMembery @antobbo @Emmalouisajones @LBC @NickFerrariLBC He literally makes my blood pressure soar and I suffe… https://t.co/9XJcDfVFoD"
"37","_k_simonee","Louisiana, USA",30.9842977,-91.9623327,"Louisiana",1101617846013042688,"Terrible headache &amp; a terrible fucking day !!!"
"38","_KendrickH_","No Days Off TX",31.9685988,-99.9018131,"Texas",1101263417443315712,"And it came wit a headache when we finished <U+0001F602> https://t.co/jNEif9wIHH"
"39","_LaceUpJoe","~Albuquerque . NM~",35.0843859,-106.650422,"New Mexico",1102357149194178560,"Honestly your a fucken headache ehh why am I still stuck on you"
"40","_MarcusMarcusss","cyberspace",41.680175,-88.208321,"Illinois",1101630781691183104,"damn i got a fucking headache"
"41","_Meganmecrazy","California, USA",36.778261,-119.4179324,"California",1101975260163788800,"Lifting with a hangover headache is NOT the biz.. but ya girl has goals <U+0001F44F><U+0001F3FC>"
"42","_melxc","LB x SD <U+0001F334>",43.9695148,-99.9018131,"South Dakota",1100544352047099904,"i’ve got the fattest headache fuck"
"43","_misti7","Raymondville, TX",26.4814565,-97.783051,"Texas",1102350099299160064,"i’ve seriously been in bed all day trying to get rid of this fkn headache <U+0001F975>"
"44","_naaayaa","my bag.",32.7932504,-96.7762675,"Texas",1101978709374967808,"this headache is something else smh. this nigga thumping through two ibuprofens"
"45","_naeesavage","Cleveland, OH",41.49932,-81.6943605,"Ohio",1101979945193086976,"@shelovejay02 Talking about it just be a headache lol"
"46","_NatLee13","Louisiana",30.9842977,-91.9623327,"Louisiana",1101609532705394688,"@AllArielll Girl 2 don’t do nothing no more and I need this headache gone ASAP! <U+0001F602><U+0001F602><U+0001F602><U+0001F602> I usually take 2 Tylenol but I ran out."
"47","_ryleefreese","gcity",38.8963818,-94.6702482,"Kansas",1101977959949316096,"headache"
"48","_sarahgrim_","Akron, OH",41.0814447,-81.5190053,"Ohio",1101255123433635840,"My ethics professor gives me a headache"
"49","_SimplyTi","Boston, MA",42.3600825,-71.0588801,"Massachusetts",1100896128550293504,"This headache is crazy <U+0001F629>"
"50","_SmithCommaJohn","MUSICIAN AND GRAPHIC DESIGNER",44.791954,-91.517409,"Wisconsin",1101609603597516800,"@schatz667 damn cowards. been only playing casual for 6 months becasue soloQ is such a chore and a headache and cas… https://t.co/6ZweE2Tbql"
"51","_Starkeisha","Memphis <U+21AD> Martin",35.1495343,-90.0489801,"Tennessee",1101253005876363264,"I’ve been having the same headache almost a week now."
"52","_Stellajess","san pablo, california",37.9621457,-122.3455263,"California",1101254400838819840,"I have the biggest headache of life rn <U+0001F611>"
"53","_taymaraaaa","Wichita, KS",37.6871761,-97.330053,"Kansas",1100897116547895296,"I just bought a waist trainer and let me tell y’all when i say i feel like it’s giving me a headache <U+0001F602>"
"54","_TheRealistTayy","2-5",42.142302,-77.049474,"New York",1100904700059308032,"i have a bad headache <U+0001F915><U+0001F62B>"
"55","_timommy","New Orleans",29.9510658,-90.0715323,"Louisiana",1101622963370115072,"This headache I got is unreal"
