"","screenName","location","latitude","longitude","state","tweetID","text"
"1","_alexismccarthy","Portage, MI",42.2011538,-85.5800022,"Michigan",1101951198150705152,"@victoriajford @AndrewKondelik @El_Influenza @KTHopkins Hope you all have fun burning in hell<U+0001F498><U+0001F498><U+0001F498><U+0001F498><U+0001F498><U+0001F498>"
"2","_alexismccarthy","Portage, MI",42.2011538,-85.5800022,"Michigan",1101989302135934976,"@victoriajford @AndrewKondelik @El_Influenza @KTHopkins loool kol khara ya ibn el sharmouta"
"3","_AndrewSchmidt","Atlanta, GA",33.7489954,-84.3879824,"Georgia",1101599259386957824,"#GeorgiaState researcher Dr. Baozhong Wang is fighting #influenza #TheStateWay. He's received a $3.86 million feder… https://t.co/yj4XLzfbAP"
"4","_AreaDan","Cyclone Country",42.0237961,-93.6093761,"Iowa",1101519197060956160,"It's March, we're heading into days of sub-zero windchills, and influenza is making the rounds. https://t.co/gQGdbq5Zkc"
"5","_Cotu","Roma",36.0766378,-95.9036356,"Oklahoma",1101897835300175872,"Out #Manolas per influenza intestinale
@Teleradiostereo #LazioRoma"
"6","_doingallright","Deep Space",39.5169545,-104.7617256,"Colorado",1102328217631903744,"@moonlightila @_Stefy_B_ @killerQueen2110 @painkiller80 Cmq non voglio dire ma io pure dopo e durante gli Oscar ho… https://t.co/9nooamwvtr"
"7","_lovelycms","19 | she/her ",34.7315083,-86.5898086,"Alabama",1101517559050981376,"sono in camera sotto una coperta con la sciarpa attorno al collo, che bello l'inverno e l'influenza"
"8","_NoItsPatrick","Maryland ",39.0457549,-76.6412712,"Maryland",1101174724724473856,"I really have influenza A &amp; B <U+0001F602><U+0001F602><U+0001F602><U+0001F602> I know not supposed to question God but seriously why <U+0001F602>"
"9","_nsgr","Berkeley, CA",37.8715926,-122.272747,"California",1100488046875631616,"I got wholeass INFLUENZA and still DIDNT DIE https://t.co/aEliClc4At"
"10","_steve3_","Highlands Ranch, CO",39.5480789,-104.9739333,"Colorado",1100449974662250496,"@ClevelandClinic Influenza A - Like week 2"
"11","1019Rocks","Maine & New Brunswick",45.253783,-69.4454689,"Maine",1101210452648960000,"Extra precautions are also in place at Northern Light Continuing Care in Mars Hill. https://t.co/BhlfXTbLdB"
"12","1grandmamean","Illinois, USA",40.6331249,-89.3985283,"Illinois",1101849859194306560,"OURBREAK IN ALMOST ALL STATES.  SEE MAP.
This flu map shows how the biggest influenza outbreak in years spread acro… https://t.co/bv1Ay2e0VI"
"13","23701FD","Chesapeake,  VA - USA",36.7682088,-76.2874927,"Virginia",1101613473006538752,"@lbates702 Just got back from the Dr. She tested positive for Influenza A &amp; B . She's had a temp ranging from 101.4… https://t.co/wLjF9H34M2"
"14","24karatchocolat","Pallet Town",42.589978,-87.877604,"Wisconsin",1102172231323566080,"@slayyyter influenza but make it slayyy <U+26B0><U+FE0F>"
"15","2njerii","Longview, WA",46.1381676,-122.9381672,"Washington",1100150064322760704,"@4ever_lilly_ influenza vaccine can cause a false-positive HIV-antibody test due to nonspecific cross-reacting antibodies"
"16","3lla_L4QcFu3","NYC",40.7127753,-74.0059728,"New York",1101499033271451648,"Hay epidemia de Influenza!!<U+0001F631><U+0001F631><U+0001F631><U+0001F611> y ya me está dando, nooooo alejate de mi maldito virus!!<U+0001F611>"
