"","screenName","location","latitude","longitude","state","tweetID","text"
"1","___JazzyJas","Southside Raleigh, NC",35.8689245,-78.7288302,"North Carolina",NA,NA
"2","___marieeejaeee","Oxford, AL",33.6142714,-85.8349648,"Alabama",NA,NA
"3","__fc","Somerville, MA",42.3875968,-71.0994968,"Massachusetts",NA,NA
"4","__ForeignRoz","Detroit, MI",42.331427,-83.0457538,"Michigan",NA,NA
"5","__iBreakHearts","Columbia, SC",34.0007104,-81.0348144,"South Carolina",NA,NA
"6","__mikkkk","Richmond, VA",37.5407246,-77.4360481,"Virginia",NA,NA
"7","__nikaboo","Tupelo, MS",34.2576066,-88.7033859,"Mississippi",NA,NA
"8","__SlimTing","7.five.SEVEN",30.265596,-97.743373,"Texas",NA,NA
"9","_AllDaii","My own lane",33.0465019,-96.858026,"Texas",NA,NA
"10","_barbiegirl11_","Michigan, USA",44.3148443,-85.6023643,"Michigan",NA,NA
"11","_BasedOnMi","Winterville, NC",35.529051,-77.4010762,"North Carolina",NA,NA
"12","_breaddd","the North",35.4617956,-97.649336,"Oklahoma",NA,NA
"13","_brookeyfbaby","O<U+02BB>ahualua, Hawai<U+02BB>i",19.8967662,-155.5827818,"Hawaii",NA,NA
"14","_cartreal","Tally/MS",31.9798472,-89.2855615,"Mississippi",NA,NA
"15","_chellybby","Atlanta, GA",33.7489954,-84.3879824,"Georgia",NA,NA
"16","_cozykaplan_","Rhode Island",41.5800945,-71.4774291,"Rhode Island",NA,NA
"17","_diyanazlkfely_","Washington, USA",47.7510741,-120.7401385,"Washington",NA,NA
"18","_egii_","Brooklyn Bred*",40.6781784,-73.9441579,"New York",NA,NA
"19","_erinmichelle__","843",32.9170585,-80.0285598,"South Carolina",NA,NA
"20","_exclusiveKee","Smiths, AL",32.5401393,-85.0985473,"Alabama",NA,NA
"21","_HelloJenny","Palmdale",34.5794343,-118.1164613,"California",NA,NA
"22","_IcedSweetKee","Texas, USA",31.9685988,-99.9018131,"Texas",NA,NA
"23","_Ichigo_Kitty_","New Jersey, USA",40.0583238,-74.4056612,"New Jersey",NA,NA
"24","_iCOMPLETEyou","MississippiStateUniversity<U+2764><U+FE0F>",33.4551742,-88.7943766,"Mississippi",NA,NA
"25","_inkyytee","301",37.2256801,-95.706922,"Kansas",NA,NA
"26","_itsBRITBRAT","850 IS MY CITY",41.4998051,-81.6870929,"Ohio",NA,NA
"27","_itsMorganG","VA",36.103255,-95.8716018,"Oklahoma",NA,NA
"28","_Jdugg","Prince George, VA",37.1593052,-77.2405153,"Virginia",NA,NA
"29","_jennystarfish_","Jacksonville, FL <U+2600><U+FE0F>",30.3321838,-81.655651,"Florida",NA,NA
"30","_jeszsell","Venus",30.2851533,-81.5138602,"Florida",NA,NA
"31","_jjaeee","New Jersey, USA",40.0583238,-74.4056612,"New Jersey",NA,NA
"32","_Joeylynne","Los Angeles, CA",34.0522342,-118.2436849,"California",NA,NA
"33","_Johairi","Raleigh, NC",35.7795897,-78.6381787,"North Carolina",NA,NA
"34","_JorDyyy_","NOLA",29.9510658,-90.0715323,"Louisiana",NA,NA
"35","_Julesyjewels","By the sea",41.2788808,-72.8069247,"Connecticut",NA,NA
"36","_k_simonee","Louisiana, USA",30.9842977,-91.9623327,"Louisiana",NA,NA
"37","_KendrickH_","No Days Off TX",31.9685988,-99.9018131,"Texas",NA,NA
"38","_LaceUpJoe","~Albuquerque . NM~",35.0843859,-106.650422,"New Mexico",NA,NA
"39","_MarcusMarcusss","cyberspace",41.680175,-88.208321,"Illinois",NA,NA
"40","_Meganmecrazy","California, USA",36.778261,-119.4179324,"California",NA,NA
"41","_melxc","LB x SD <U+0001F334>",43.9695148,-99.9018131,"South Dakota",NA,NA
"42","_misti7","Raymondville, TX",26.4814565,-97.783051,"Texas",NA,NA
"43","_naaayaa","my bag.",32.7932504,-96.7762675,"Texas",NA,NA
"44","_naeesavage","Cleveland, OH",41.49932,-81.6943605,"Ohio",NA,NA
"45","_NatLee13","Louisiana",30.9842977,-91.9623327,"Louisiana",NA,NA
"46","_ryleefreese","gcity",38.8963818,-94.6702482,"Kansas",NA,NA
"47","_sarahgrim_","Akron, OH",41.0814447,-81.5190053,"Ohio",NA,NA
"48","_SimplyTi","Boston, MA",42.3600825,-71.0588801,"Massachusetts",NA,NA
"49","_SmithCommaJohn","MUSICIAN AND GRAPHIC DESIGNER",44.791954,-91.517409,"Wisconsin",NA,NA
"50","_Starkeisha","Memphis <U+21AD> Martin",35.1495343,-90.0489801,"Tennessee",NA,NA
"51","_Stellajess","san pablo, california",37.9621457,-122.3455263,"California",NA,NA
"52","_taymaraaaa","Wichita, KS",37.6871761,-97.330053,"Kansas",NA,NA
"53","_TheRealistTayy","2-5",42.142302,-77.049474,"New York",NA,NA
"54","_timommy","New Orleans",29.9510658,-90.0715323,"Louisiana",NA,NA
"55","_timqt18","Earth",37.2321077,-95.7243335,"Kansas",NA,NA
"56","_TinyBriana","California<U+2600><U+FE0F>",36.778261,-119.4179324,"California",NA,NA
"57","_Wepa_","worldwide",36.249758,-95.266826,"Oklahoma",NA,NA
"58","_YasmineMickal","Tennessee, USA",35.5174913,-86.5804473,"Tennessee",NA,NA
"59","_YoItsKakess","Greenville, Tx <U+2661> ( :",33.1384488,-96.1108066,"Texas",NA,NA
"60","_yolaccc","Lafayette, LA",30.2240897,-92.0198427,"Louisiana",NA,NA
"61","_yonnieee","San Francisco • Nola",37.7643177,-122.4637951,"California",NA,NA
