"","screenName","location","latitude","longitude","state","tweetID","text"
"1","_austinsydney","LA <U+269C><U+FE0F>",34.0522342,-118.2436849,"California",1101507508907270144,"This Tamiflu ain’t working fast enough"
"2","_BambisWorld","H-town",29.8348884,-95.3837448,"Texas",1100753411451076608,"Tamiflu costs $84 WITH insurance"
"3","_livingfree","Northeastern Florida, U.S.",29.95439,-81.3428916,"Florida",1101837285094551552,"I just want to feel 100% recovered from influenza. Only two doses of tamiflu left and my energy level is still low.… https://t.co/mWYGuNxcTc"
"4","2casey451","Vermont",44.5588028,-72.5778415,"Vermont",1102102819883139072,"@LadyJulie7 @JJComfortDog So no chemo anymore, so no side effects, then they run you down with tamiflu. Like it's bad to feel good."
"5","2casey451","Vermont",44.5588028,-72.5778415,"Vermont",1101584901197975552,"@LadyJulie7 @wildwestannie K. I will root for no nausea either way, a yummy dinner, and a quick end to the flu (and tamiflu) menace."
"6","388shark","Santa Clarita, CA",34.3916641,-118.542586,"California",1100952608590577664,"I’m starting to think Tamiflu is a scam."
"7","420lanie","Texas, USA",31.9685988,-99.9018131,"Texas",1100626365450207232,"POISON https://t.co/qZEgZ2CURO"
"8","AbbieATC","Cincinnati, Ohio",39.1031182,-84.5120196,"Ohio",1101159930072051712,"Poor Charlie has Influenza A. She couldn't keep first dose of TamiFlu down. #SheHurledInTheBathtub… https://t.co/hUT4Dd9foq"
"9","acstaton","Huntsville, AL",34.7303688,-86.5861037,"Alabama",1100427799972794368,"You got to love it when all three of your children have tested positive for the flu... So what is a man to do?  Sta… https://t.co/Z0GFd5mQHB"
"10","Addy_Lane","Northwest Arkansas",36.0148605,-94.2333355,"Arkansas",1100805538387034112,"@E_L_Bates L woke with a 102° temp. today. I took her to the doctor thinking strep, because I was sure we'd had EVE… https://t.co/0vJ4QD72Yr"
"11","AKMatty","Anchorage",61.2180556,-149.9002778,"Alaska",1100593712847978496,"@MunkeeRajah @WillMuldoon Tamiflu usually only helps if you start in the first 2 days...
Wife is on Day 7 of Influe… https://t.co/CvblQGRuaW"
"12","AL_Progressive","Atlanta, GA",33.7489954,-84.3879824,"Georgia",1100826380508516352,"@kroger I can’t imagine a worse experience-picking up Tamiflu script 4 kid + myself-get told “sorry, lol, shipment didn’t come as expected!”"
