"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@greenhousemd Also goes for the myth that the flu vaccine is just a money grab by doctors and pharma. <U+0001F914> Isn’t more… https://t.co/W4idFZ55ps",FALSE,36,"greenhousemd","2019-02-25 23:59:42",TRUE,"1.100159833226e+18","1100183588249759744","73648642","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Born2lbFat",2,FALSE,FALSE,NA,NA
"2","@thescript Hi guys I'm sick with the flu guys xxx could ye follow me on twitter Facebook and Snapchat please guys x… https://t.co/N3cU3df0LN",FALSE,0,"thescript","2019-02-25 23:59:35",TRUE,"1100169904156803072","1100183560357642240","14216203","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YvonneK93017623",0,FALSE,FALSE,NA,NA
"3","@FaracoSouzaFFC Agora todos concordam com isso. Mas na época o cara parecia q viria voando, tava em ótima fase e o… https://t.co/jeSosfjS7j",FALSE,0,"FaracoSouzaFFC","2019-02-25 23:59:30",TRUE,"1100177336283082752","1100183537595154432","3004929548","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andrelinu",0,FALSE,FALSE,NA,NA
"4","Turns out I got the flu. It’s not even fatal so what’s the fuckin point I don’t get it",FALSE,25,NA,"2019-02-25 23:59:26",FALSE,NA,"1100183521010696192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilheirs",5,FALSE,FALSE,NA,NA
"5","Flu outbreak with second strain could last until May: What you need to know https://t.co/eK2Av8G7n6",FALSE,0,NA,"2019-02-25 23:59:09",FALSE,NA,"1100183451460866048",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PPFerguson314",0,FALSE,FALSE,NA,NA
"6","Bird Flu Epidemic Hits French Foie Gras Industry https://t.co/XYpS1c3YQ8 #banfoiegras #foiegras @conservatives",FALSE,0,NA,"2019-02-25 23:58:59",FALSE,NA,"1100183406305034240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DoreSutton",0,FALSE,FALSE,NA,NA
"7","@thdoscortes @flu_juninho @EmotionalBoy021 KKKKKKKKKK to mentindo th?",FALSE,2,"thdoscortes","2019-02-25 23:58:54",FALSE,"1100172428217667584","1100183385086021632","772951211905548288","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","medeirosbella_",0,FALSE,FALSE,NA,NA
"8","i dont know what costa gave me but ggs to them cause they mixed my shit up differently. serious serious diarrhoea f… https://t.co/zObYC9MVqU",FALSE,0,NA,"2019-02-25 23:58:47",TRUE,NA,"1100183357302943744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wuderic",0,FALSE,FALSE,NA,NA
"9","It's flu season my dude wym https://t.co/4N2YaNuSEr",FALSE,0,NA,"2019-02-25 23:58:46",FALSE,NA,"1100183355243540480",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","joonlixsbbygirl",0,FALSE,FALSE,NA,NA
"10","@Esp_Interativo @FluminenseFC @valenciacf engraçado, nas minhas revistas antigas o maior artilheiro do flu citado era o magno alves",FALSE,0,"Esp_Interativo","2019-02-25 23:58:37",FALSE,"1100178131623718912","1100183314063855616","15911679","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MAT_MENGO",0,FALSE,FALSE,NA,NA
