"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Parintins inicia capacitação para investigação de possíveis casos de gripes H1N1
&gt;&gt; https://t.co/BHV2K3TEHR https://t.co/NDKf5r2ckv",FALSE,0,NA,"2019-02-25 23:47:15",FALSE,NA,"1100180455972847616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jonassantospin",0,FALSE,FALSE,NA,NA
"2","Parintins inicia capacitação para investigação de possíveis casos de gripes H1N1
&gt;&gt; https://t.co/bqqarFRHWD https://t.co/9hbHGy1M2q",FALSE,1,NA,"2019-02-25 23:46:42",FALSE,NA,"1100180315388157952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlogDeAmazonia",0,FALSE,FALSE,NA,NA
"3","Uma mulher grávida morreu em Parintins, vítima da doença, de acordo com a Susam
&gt;&gt; https://t.co/BHV2K3TEHR https://t.co/o9g0HUia4J",FALSE,0,NA,"2019-02-25 23:46:07",FALSE,NA,"1100180169128583168",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jonassantospin",0,FALSE,FALSE,NA,NA
"4","@ptoxicp Tua mãe por acaso te mostrou um audio de uma mulher aleatoria no zap falando se n lavar a mão e passar alc… https://t.co/0WWadb4CrJ",FALSE,0,"ptoxicp","2019-02-25 23:34:33",TRUE,"1100164857360453632","1100177258860421120","830468186852179968","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mkn_kvn_",0,FALSE,FALSE,NA,NA
"5","Mano, esse surto de H1N1 está me assustando. Já recebi até e-mail da faculdade sobre o surto",FALSE,8,NA,"2019-02-25 23:28:43",FALSE,NA,"1100175791894261760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HStragliotto",0,FALSE,FALSE,NA,NA
"6","Na, H1N1/09 legyozve! Van még egy kis orrdugulás a szórakozás kedvéért, de ennyi. Most egy darabig, nem akarok új v… https://t.co/JSDBi1BSVd",FALSE,2,"QuantumRebirth","2019-02-25 23:27:00",TRUE,"1099339664597680128","1100175358442250240","3020040809","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QuantumRebirth",0,FALSE,FALSE,NA,NA
"7","Surto de h1n1 e eu gripada acho q to morrendo meus amigos",FALSE,4,NA,"2019-02-25 23:26:32",FALSE,NA,"1100175241387692032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vitoriaposselt",1,FALSE,FALSE,NA,NA
"8","Prevenir é o melhor remédio #h1n1 #prevencao #curitiba #saude https://t.co/URmT9frPL9",FALSE,0,NA,"2019-02-25 23:25:06",FALSE,NA,"1100174881424113664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dadaXpicanha",0,FALSE,FALSE,NA,NA
"9","WHO issues recommendations on next season's #flu vaccine composition
The #vaccines for the 2019-20 season in the No… https://t.co/J2tWQyF4L4",FALSE,5,NA,"2019-02-25 23:25:01",TRUE,NA,"1100174858216972288",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",5,FALSE,FALSE,NA,NA
"10","AMAZONAS 

<U+27A1> Quatro pessoas morrem vítimas do vírus H1N1 no Amazonas em uma semana

https://t.co/vJChxiA4aJ… https://t.co/srZNsfzS54",FALSE,0,NA,"2019-02-25 23:20:00",TRUE,NA,"1100173596310200320",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cbnamazonia",1,FALSE,FALSE,NA,NA
"11","@SergioSarmiento @frank355ovi @JonathanHeath54 No Sr. Sarmiento, el desplome se dió al final de 2008, 2 años despué… https://t.co/MGIChE84sW",FALSE,12,"SergioSarmiento","2019-02-25 23:16:46",TRUE,"1100116136048422912","1100172785253535744","362473815","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcoBo14299061",6,FALSE,FALSE,NA,NA
"12","Went to @leaveittodrea over the weekend now I got the H1N1 virus <U+0001F927><U+0001F912>",FALSE,0,NA,"2019-02-25 23:08:29",FALSE,NA,"1100170700181127168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MJtaughtYou",0,FALSE,FALSE,NA,NA
"13","Mamae ja me falou umas 500x sobre H1N1",FALSE,12,NA,"2019-02-25 23:05:29",FALSE,NA,"1100169943075704832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lucassneidjer",0,FALSE,FALSE,NA,NA
"14","Preocupado? Saiba medidas de prevenção contra o vírus H1N1 e quais são os sintomas da Influenza:… https://t.co/XCREZYDONj",FALSE,9,NA,"2019-02-25 23:02:21",TRUE,NA,"1100169155234402304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ACritica",3,FALSE,FALSE,NA,NA
"15","Governo do Amazonas e Prefeitura de Manaus implantam Comitê Estadual para enfrentamento do H1N1 e solicitam ao Mini… https://t.co/vGCsxhDi6k",FALSE,1,NA,"2019-02-25 22:58:51",TRUE,NA,"1100168274300624896",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","pauloapurina",0,FALSE,FALSE,NA,NA
"16","75% of this year’s H1N1 cases recorded in February https://t.co/eg1glOZty7",FALSE,0,NA,"2019-02-25 22:48:40",FALSE,NA,"1100165712826585088",NA,"<a href=""http://www.toi.in"" rel=""nofollow"">cmssocialservice</a>","TOIAhmedabad",0,FALSE,FALSE,NA,NA
"17","contei pra minha bisa que tava com dor de garganta e febre e ao mesmo tempo passa na tv uma reportagem sobre um sur… https://t.co/SFjB3CPSce",FALSE,0,NA,"2019-02-25 22:44:03",TRUE,NA,"1100164551671275520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pcysinner",0,FALSE,FALSE,NA,NA
"18","surto de h1n1 na cidade 

vou beber porque dizem que o álcool limpa. manter meus órgãos protegidos ok 

passem álcool em gel nas mãos",FALSE,11,NA,"2019-02-25 22:41:30",FALSE,NA,"1100163908717957120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thksbeatriz",11,FALSE,FALSE,NA,NA
"19","75% of this year’s H1N1 cases recorded in February https://t.co/xlCh5uLbOn",FALSE,0,NA,"2019-02-25 22:39:50",FALSE,NA,"1100163487198793728",NA,"<a href=""http://www.toi.in"" rel=""nofollow"">cmssocialservice</a>","TOICitiesNews",0,FALSE,FALSE,NA,NA
"20","Successivamente, ma solo dopo cinque mesi, col passare delle settimane e soprattutto poco a poco, la pandemia media… https://t.co/pLwIu2lwG5",FALSE,15,"Mr_Ozymandias","2019-02-25 22:38:12",TRUE,"1100161691583692800","1100163079525097472","873992653704220672","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr_Ozymandias",15,FALSE,FALSE,NA,NA
"21","@USATODAY So...use your head. Per the article, ...'the current immunization protects better against the main strain… https://t.co/C9REvQPhNv",FALSE,2,"USATODAY","2019-02-25 22:36:21",TRUE,"1100161516349915136","1100162612556267520","15754281","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","warriormama1019",0,FALSE,FALSE,NA,NA
"22","Surto de H1N1 e a dica é evitar lugar aglomerado...

Surto de H1N1 no carnaval...",FALSE,2,NA,"2019-02-25 22:33:39",FALSE,NA,"1100161932861063168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uenandaline",0,FALSE,FALSE,NA,NA
"23","quando eu acordei 4 pessoas haviam morrido de h1n1 agora são 9 <U+0001F614>",FALSE,0,NA,"2019-02-25 22:33:36",FALSE,NA,"1100161921771323392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xingxila",0,FALSE,FALSE,NA,NA
