"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Should I go to the er if I’ve thrown up 4 times today and have a huge headache and can’t eat anything...? Moms help… https://t.co/eu4TFMTzgn",FALSE,2,NA,"2019-02-25 23:59:34",TRUE,NA,"1100183554733064192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joslynn_padilla",0,FALSE,FALSE,NA,NA
"2","Im playing STALKER for the forst time
But it's giving me a headache :/",FALSE,0,NA,"2019-02-25 23:59:31",FALSE,NA,"1100183540354990080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vindicatedlich",0,FALSE,FALSE,NA,NA
"3","i have a headache now it's my punishment for acting straight",FALSE,0,"straytrivias","2019-02-25 23:59:31",FALSE,"1100180542941810688","1100183540052959232","599405915","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","straytrivias",0,FALSE,FALSE,NA,NA
"4","@The_8th_Juror @CommonsPACAC What. A. Headache.
I almost no longer care at all about the outcome (by that I mean we… https://t.co/uNND08JzhK",FALSE,2,"The_8th_Juror","2019-02-25 23:59:25",TRUE,"1100182542643355648","1100183517516963840","1094954159235829760","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","natashajad3",0,FALSE,FALSE,NA,NA
"5","@LoopdiLou I have an actual headache from dealing with this and I just... I am just so tired of people wasting my time.",FALSE,0,"LoopdiLou","2019-02-25 23:59:18",FALSE,"1100181929201025024","1100183488081395712","12190922","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","stichomancery",0,FALSE,FALSE,NA,NA
"6","Its 41°F and im hot as hell.. im outside in a shirt tryna stay cool so this headache goes away",FALSE,0,NA,"2019-02-25 23:59:15",FALSE,NA,"1100183473812328448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Surge_Yo",0,FALSE,FALSE,NA,NA
"7","All I want to do is sleep so I can get rid of this headache, and I would do that, if I didn’t have to worry about waking up for work at 6am.",FALSE,0,NA,"2019-02-25 23:59:13",FALSE,NA,"1100183468493991936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taiylor_laree",0,FALSE,FALSE,NA,NA
"8","i can feel my headache kicking in i REALLY need to stop crying and get some sleep",FALSE,0,NA,"2019-02-25 23:59:09",FALSE,NA,"1100183450760433664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rvsfx",0,FALSE,FALSE,NA,NA
"9","I love to wake up in the middle of the night with a splitting headache that makes me tired at work the next day. It's actually ideal.",FALSE,0,NA,"2019-02-25 23:59:09",FALSE,NA,"1100183450290515968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AofANLA",0,FALSE,FALSE,NA,NA
"10","The Outlaws struggled last season purely from a lack of talent in the second dps slot, but they worked around it to… https://t.co/kOms2VM7D3",FALSE,0,NA,"2019-02-25 23:58:50",TRUE,NA,"1100183371949301760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Revz_OW",0,FALSE,FALSE,NA,NA
"11","@ChroniclesCardi Headache <U+0001F62B> Thank you for sharing!",FALSE,1,"ChroniclesCardi","2019-02-25 23:58:47",FALSE,"1100085592883380224","1.100183359031e+18","379860294","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMARichmond",0,FALSE,FALSE,NA,NA
"12","Am I the only one that gets a headache as soon as I punch into work? Lmao",FALSE,0,NA,"2019-02-25 23:58:37",FALSE,NA,"1100183315821150208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinycornejo",0,FALSE,FALSE,NA,NA
"13","Having my hair up gave me the worst headache <U+0001F62D>",FALSE,0,NA,"2019-02-25 23:58:33",FALSE,NA,"1100183297903144960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Garcia_M10",0,FALSE,FALSE,NA,NA
"14","i had a massive headache before this whole star shit so im convinced that these aliens are out to get me so i can’t get the ticket tomorrow<U+0001F975>",FALSE,3,NA,"2019-02-25 23:58:21",FALSE,NA,"1100183246502092800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amysuggwell",0,FALSE,FALSE,NA,NA
"15","@Fatumoriginal @Zallah__ As in! Headache Ko translation? <U+0001F602>",FALSE,0,"Fatumoriginal","2019-02-25 23:58:17",FALSE,"1100180548474060800","1100183232627335168","1028332741107044352","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WordsworthGwary",0,FALSE,FALSE,NA,NA
"16","I have a headache <U+0001F61E> can it be Friday already",FALSE,0,NA,"2019-02-25 23:58:15",FALSE,NA,"1100183225228541952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flaminhotchims",0,FALSE,FALSE,NA,NA
"17","got a whole headache <U+0001F486><U+0001F3FD><U+200D><U+2640><U+FE0F>",FALSE,0,NA,"2019-02-25 23:58:13",FALSE,NA,"1100183213538983936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","23islands_",0,FALSE,FALSE,NA,NA
"18","My head hurts a lot #headache",FALSE,0,NA,"2019-02-25 23:57:59",FALSE,NA,"1100183157230301184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rojink11",0,FALSE,FALSE,NA,NA
"19","I have a horrible headache and I ran out of medicine we had stored in the basement, the screeching outside doesn’t help.",FALSE,1,NA,"2019-02-25 23:57:33",FALSE,NA,"1100183047260045312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fireylights",0,FALSE,FALSE,NA,NA
"20","Eurostar into Paris was delayed. Get to hotel at midnight local time. Someone’s been painting the windows. Now deve… https://t.co/VFD5V37Zdw",FALSE,0,NA,"2019-02-25 23:57:33",TRUE,NA,"1100183046140116992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mnorris76",0,FALSE,FALSE,NA,NA
"21","And it cuts right through a headache",FALSE,0,"3duddy","2019-02-25 23:57:32",FALSE,"1100182830028472320","1100183042528694272","735302404611047424","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3duddy",0,FALSE,FALSE,NA,NA
"22","@TAT_xmx <U+AC00><U+C988><U+C544> <U+314B> <U+314B> <U+314B> <U+314B> <U+314B>",FALSE,0,"TAT_xmx","2019-02-25 23:57:23",FALSE,"1100179296230924288","1100183004763238400","2950077200","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BLUE_HEADACHE",0,FALSE,FALSE,NA,NA
"23","@Kellinquinn I was able to go to one show and lowkey I miss the massive post show headache <U+0001F602>",FALSE,146,"Kellinquinn","2019-02-25 23:57:03",FALSE,"1100172298542346240","1100182920310906880","102401151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","medeecine",3,FALSE,FALSE,NA,NA
"24","i have the worst headache and im in class and evedyone is being so fcking. loud jsy shut the fick up",FALSE,1,NA,"2019-02-25 23:56:58",FALSE,NA,"1100182900681654272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trviasknj",0,FALSE,FALSE,NA,NA
"25","Im fixin 2 DX #Xfinity. #Comcast will give u an absolute headache",FALSE,0,NA,"2019-02-25 23:56:57",FALSE,NA,"1100182894411161600",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Coach_WadeS",0,FALSE,FALSE,NA,NA
"26","My doctor thinks my headache is actually a migraine-",FALSE,5,NA,"2019-02-25 23:56:56",FALSE,NA,"1100182891747819520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_cozykaplan_",0,FALSE,FALSE,NA,NA
"27","@onlydchzusetwtr I got a headache for even considering this plan again",FALSE,0,"onlydchzusetwtr","2019-02-25 23:56:49",FALSE,"1100181623591571456","1100182862660284416","94032139","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trance_Warri0r",0,FALSE,FALSE,NA,NA
"28","Hate it whenever I woke up with headache in the morning.",FALSE,0,NA,"2019-02-25 23:56:45",FALSE,NA,"1100182846654664704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","izzyizzan",0,FALSE,FALSE,NA,NA
"29","I have such a bad headache I’ve cried for the last like two hours",FALSE,0,NA,"2019-02-25 23:56:44",FALSE,NA,"1100182839780360192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alwaysyoukissy",0,FALSE,FALSE,NA,NA
"30","Literally at the epitome of minding my own business and I still can't escape the headache versions of people",FALSE,0,NA,"2019-02-25 23:56:40",FALSE,NA,"1100182825238700032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ReubenJHenshaw",0,FALSE,FALSE,NA,NA
"31","Sick with a fat headache but still about to knock out this test in 16 min tops",FALSE,1,NA,"2019-02-25 23:56:22",FALSE,NA,"1100182749384601600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRealAngelaa",0,FALSE,FALSE,NA,NA
"32","hey guys my glasses give me a headache and i know damn well kat is gonna come in and turn both lights on so if my head explodes its on her",FALSE,3,NA,"2019-02-25 23:56:19",FALSE,NA,"1100182736164319232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","toristhots1",0,FALSE,FALSE,NA,NA
"33","@ambition05 @inecnigeria U know d irony of it all? Drinking Panadol for someone’s headache. Focus on you.",FALSE,2,"ambition05","2019-02-25 23:56:18",FALSE,"1100181639576121344","1100182731621888000","251257790","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Abrams_mufc",0,FALSE,FALSE,NA,NA
"34","Bruh I have a huge headache.",FALSE,0,NA,"2019-02-25 23:56:09",FALSE,NA,"1100182696813162496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crush_alotRae",0,FALSE,FALSE,NA,NA
"35","<U+0001F616><U+0001F616><U+0001F616> I got a headache that won't go away",FALSE,0,NA,"2019-02-25 23:56:01",FALSE,NA,"1100182661270855680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HybridgotBass",0,FALSE,FALSE,NA,NA
"36","My runny nose, sore throat, and headache all ruining my day at once https://t.co/kF1ZPdPeQG",FALSE,44,NA,"2019-02-25 23:55:54",FALSE,NA,"1100182632694984704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_aerielburge",18,FALSE,FALSE,NA,NA
"37","Sighhh. This headache.",FALSE,0,NA,"2019-02-25 23:55:53",FALSE,NA,"1100182629138292736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","childish_kim",0,FALSE,FALSE,NA,NA
"38","@MissMandi00 They all give me a headache. Nothing but major brews for me.",FALSE,0,"MissMandi00","2019-02-25 23:55:50",FALSE,"1100180862430175232","1100182613967425536","2386014535","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobertReed003",0,FALSE,FALSE,NA,NA
"39","Doing my taxes is SUCH A HEADACHE",FALSE,0,NA,"2019-02-25 23:55:47",FALSE,NA,"1100182602638446592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rengedfern",0,FALSE,FALSE,NA,NA
"40","Pulsing pain that felt like it was coming from the neck. Caused a bad headache and shoulder pain. Glad it stopped. #Fibromyalgia",FALSE,0,NA,"2019-02-25 23:55:41",FALSE,NA,"1100182577493753856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","illkeepmoving",0,FALSE,FALSE,NA,NA
"41","I dont know when this headache 
will go away",FALSE,2,NA,"2019-02-25 23:55:41",FALSE,NA,"1100182575929327616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Huspisces",0,FALSE,FALSE,NA,NA
"42","lack of sleep. i hate this feeling. i think i'm gonna get a headache later on... dammit.",FALSE,0,NA,"2019-02-25 23:55:23",FALSE,NA,"1100182502671433728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hwisaek",0,FALSE,FALSE,NA,NA
"43","Headache <U+0001F4A2>",FALSE,0,NA,"2019-02-25 23:55:16",FALSE,NA,"1100182473403744256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ran112222",0,FALSE,FALSE,NA,NA
"44","damn this headache <U+0001F644>",FALSE,0,NA,"2019-02-25 23:55:14",FALSE,NA,"1100182462406279168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","charlihli",0,FALSE,FALSE,NA,NA
"45","I have such a headache right now",FALSE,0,NA,"2019-02-25 23:55:09",FALSE,NA,"1100182444941234176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lindyy_Lu",0,FALSE,FALSE,NA,NA
"46","I’m so tired tonight I have a headache",FALSE,1,NA,"2019-02-25 23:55:08",FALSE,NA,"1100182438599376896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hselftitIed",0,FALSE,FALSE,NA,NA
"47","@LorraineReagan @pcon @CursedtoFirst I tried to make that analogy work and gave myself a headache.",FALSE,1,"LorraineReagan","2019-02-25 23:55:01",FALSE,"1100181897832030208","1100182408933097472","12788442","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","__fc",0,FALSE,FALSE,NA,NA
"48","I have such a headache and I feel sick. I blame the heavy winds that came outta nowhere today :(",FALSE,0,NA,"2019-02-25 23:54:57",FALSE,NA,"1100182394672427008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hemaanghi",0,FALSE,FALSE,NA,NA
"49","@bitchitsbenny In the least creepy way possible I wish I could like make you into like an energy drink or something… https://t.co/NrKYFBnc7i",FALSE,1,"bitchitsbenny","2019-02-25 23:54:50",TRUE,"1100181483376050176","1100182364456665088","3919833747","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peebanjay",0,FALSE,FALSE,NA,NA
"50","@adamjohnsonNYC @TheCurrentCBC I worked at a ‘50s/‘60s themed diner that had one compilation CD playing on repeat a… https://t.co/h6aPQOSC5o",FALSE,1,"adamjohnsonNYC","2019-02-25 23:54:46",TRUE,"1100061090950668288","1100182345343217664","756331316","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glassesandcape",0,FALSE,FALSE,NA,NA
"51","This headache is never going away<U+0001F62A>",FALSE,0,NA,"2019-02-25 23:54:34",FALSE,NA,"1100182297343537152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oldrewish",0,FALSE,FALSE,NA,NA
"52","Got a real bad headache !",FALSE,0,NA,"2019-02-25 23:54:33",FALSE,NA,"1100182290100088832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_IcedSweetKee",0,FALSE,FALSE,NA,NA
