"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The Signs There’s A Toxic, Congested Lymph In The Body And How To Help Drain It https://t.co/gK3sHRh8TW",FALSE,0,NA,"2019-02-25 23:47:50",FALSE,NA,"1100180602802896896",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","InfoSuccessful",0,FALSE,FALSE,NA,NA
"2","I’m really worried because my mum has a swollen lymph node in her armpit and her doctor is sending her to have scan… https://t.co/xdI6Wzxx50",FALSE,1,NA,"2019-02-25 23:40:34",TRUE,NA,"1100178772685402112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karenpagecastle",0,FALSE,FALSE,NA,NA
"3","Recently discovered a small lump that wasn't there before near my dogs lymph node, taking her in for a biopsy tomor… https://t.co/wXOFssIQr7",FALSE,0,NA,"2019-02-25 23:34:08",TRUE,NA,"1100177155986604032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Husky2Shady",0,FALSE,FALSE,NA,NA
"4","Dr. Corey Deacon shares his story of how concussion changed his life during university. He recalls his first concus… https://t.co/22gKFLnTmS",FALSE,0,NA,"2019-02-25 23:30:11",TRUE,NA,"1100176161114652672",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","simonefortier",0,FALSE,FALSE,NA,NA
"5","@masa00051194549 <U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+0001F60A><U+2618><U+FE0F>
<U+5143><U+6C17><U+3067><U+3059><U+3088><U+0001F3B5><U+4ECA><U+65E5><U+3082><U+826F><U+3044>1<U+65E5><U+3092>

<U+30E1><U+30C3><U+30BB><U+30FC><U+30B8><U+3042><U+308A><U+304C><U+3068><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059>",FALSE,4,"masa00051194549","2019-02-25 23:26:00",FALSE,"1099793315128471552","1100175106721091584","949169102978916352","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lymph_Labo",0,FALSE,FALSE,NA,NA
"6","@DRsonosRD @HassanR84572698 @thecurbsiders @nilamjsoni @UltrasoundMD @zedunow @SonoInternist @katiewiskar… https://t.co/UapLmZGoSm",FALSE,4,"DRsonosRD","2019-02-25 23:24:13",TRUE,"1100164556205092864","1100174660556255232","1583319019","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","i_c_sound",0,FALSE,FALSE,NA,NA
"7","<U+3042><U+306A><U+305F><U+306E><U+77E5><U+3063><U+3066><U+308B><U+5065><U+5EB7><U+6CD5><U+305D><U+308C><U+3082><U+3057><U+304B><U+3057><U+305F><U+3089><U+30C7><U+30DE><U+304B><U+3082><U+3057><U+308C><U+307E><U+305B><U+3093><U+3088><U+301C>(;<U+FF9F><U+2200><U+FF9F>)
<U+4E16><U+306E><U+4E2D><U+306E><U+5618><U+3084><U+9593><U+9055><U+3063><U+305F><U+60C5><U+5831><U+3092><U+3076><U+3063><U+305F><U+65AC><U+308A><U+307E><U+3059><U+203C><U+FE0E>
<U+672C><U+5F53><U+306B><U+77E5><U+308A><U+305F><U+3044><U+7F8E><U+3068><U+5065><U+5EB7><U+306E><U+3053><U+3068><U+3092><U+304A><U+4F1D><U+3048><U+3057><U+307E><U+3059><U+3002>
#<U+5065><U+5EB7><U+6CD5>#<U+7F8E><U+808C>#<U+30AD><U+30EC><U+30A4><U+306B><U+306A><U+308B>#<U+6E29><U+6D3B>#<U+30C0><U+30A4><U+30A8><U+30C3><U+30C8>
#<U+30AA><U+30B9><U+30B9><U+30E1><U+30B5><U+30D7><U+30EA>
https://t.co/7BBkWDEw5h",FALSE,0,NA,"2019-02-25 23:18:37",FALSE,NA,"1100173248162091008",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","lymph_ruru",0,FALSE,FALSE,NA,NA
"8","@CancerAndNicole I tried an aerobics class a few weeks ago (most recent surgery was October) but the scar where my… https://t.co/UwRURsGYGy",FALSE,5,"CancerAndNicole","2019-02-25 23:17:52",TRUE,"1100157441147322368","1100173058541871104","1055615188941070336","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NotJustSkinD33p",0,FALSE,FALSE,NA,NA
"9","gonna fly to korea to beat yg's ass up if i see jisoo with swollen lymph nodes again",FALSE,1,NA,"2019-02-25 23:17:25",FALSE,NA,"1100172949057884160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ktyjichu",0,FALSE,FALSE,NA,NA
"10","<U+300C>42<U+6B73><U+306B><U+306A><U+308A><U+307E><U+3057><U+305F><U+300D>
 <U+21D2> https://t.co/RxOeaXXkyW #<U+30A2><U+30E1><U+30D6><U+30ED> @ameba_official<U+3055><U+3093><U+304B><U+3089>",FALSE,2,NA,"2019-02-25 23:16:31",FALSE,NA,"1100172721084907520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lymph_lea",2,FALSE,FALSE,NA,NA
