"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My eyes be sooo fucking weak <U+0001F62D> my sinus be fucking me up!",FALSE,0,NA,"2019-02-25 23:59:53",FALSE,NA,"1100183634298974208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allaboutleleee",0,FALSE,FALSE,NA,NA
"2","Tweeting from Urgent Care. Horrible sinus infection. When you have autoimmune diseases, the only thing strong enoug… https://t.co/QXJ3YdPTww",FALSE,5,NA,"2019-02-25 23:59:46",TRUE,NA,"1100183606906048512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngelaLynn2017",0,FALSE,FALSE,NA,NA
"3","Sini gantian nih rasain gimana sakit dan pusing nya sinus ini -,-",FALSE,0,NA,"2019-02-25 23:57:22",FALSE,NA,"1100182999549661184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheiszhe",0,FALSE,FALSE,NA,NA
"4","@SeanUnDeux @mikaelshilling Does wonders. My brother had constant sinus infections &amp; had to have a procedure done t… https://t.co/9xNgXyTjHw",FALSE,1,"SeanUnDeux","2019-02-25 23:56:02",TRUE,"1100181547368542208","1100182666933080064","137472310","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","m_shatts",0,FALSE,FALSE,NA,NA
"5","@AmandaSoprano Trade you my gout flare up for your sinus headache",FALSE,0,"AmandaSoprano","2019-02-25 23:53:32",FALSE,"1100177498036420608","1100182037984509952","16827644","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danthepsycho2",0,FALSE,FALSE,NA,NA
"6","@MyLifeAsErin Yes! The best is when you go in for a cold or sinus infection &amp; they say ""well, you've only been sick… https://t.co/JGFbMQ44gu",FALSE,0,"MyLifeAsErin","2019-02-25 23:51:15",TRUE,"1100180266855919616","1100181460156321792","26103948","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SouthernSugar84",0,FALSE,FALSE,NA,NA
"7","When things aren’t working correctly on the inside, the results begin to surface: adhd, depression, anxiety, skin i… https://t.co/uErOd8Y3Ik",FALSE,0,NA,"2019-02-25 23:51:00",TRUE,NA,"1100181400681103360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pagilliland",0,FALSE,FALSE,NA,NA
"8","so i either have a cold, the flu, or its just a sinus infection &amp; i wanna die",FALSE,0,NA,"2019-02-25 23:47:57",FALSE,NA,"1100180629709303808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cutehijazi",0,FALSE,FALSE,NA,NA
"9","These sinus problems omg <U+0001F62A>",FALSE,0,NA,"2019-02-25 23:47:54",FALSE,NA,"1100180620200820736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uh_knee",0,FALSE,FALSE,NA,NA
"10","@Danger_Slater I coughed while reading this.  It might be sinus, not a virus, but does that count?",FALSE,1,"Danger_Slater","2019-02-25 23:44:08",FALSE,"1100177892518973440","1100179669553500160","582023124","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jess_paton",0,FALSE,FALSE,NA,NA
"11","Just about had enough of my sinuses wide awake bunged up with a sinus head ache fuming <U+0001F48A><U+0001F629>",FALSE,0,NA,"2019-02-25 23:43:38",FALSE,NA,"1100179546165440512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sartay91",0,FALSE,FALSE,NA,NA
"12","@J_Nubz I have a sinus infection that started yesterday. It's been a hell of a 24 hours",FALSE,0,"J_Nubz","2019-02-25 23:43:38",FALSE,"1100177615602753536","1100179545095921664","27580590","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vaultdweller1o1",0,FALSE,FALSE,NA,NA
"13","Is a sinus infection arising?? am I dying??? Is my IUD actin outta pocket? Or has years of listening to music at fu… https://t.co/jWSqCdKYnT",FALSE,0,NA,"2019-02-25 23:43:02",TRUE,NA,"1100179393056591872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Potetatoes",0,FALSE,FALSE,NA,NA
"14","Week 2 of dealing with a cold/sinus infection/ bronchitis https://t.co/cExTMDHjqg",FALSE,0,NA,"2019-02-25 23:41:31",FALSE,NA,"1100179010154389504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nickwnyc_",0,FALSE,FALSE,NA,NA
"15","Thaliimoprax™ lessens sinus pressure. The elderly may experience swollen teleportation, acute murmuring, and sublimation.",FALSE,0,NA,"2019-02-25 23:41:11",FALSE,NA,"1100178928814170112",NA,"<a href=""http://www.collispuro.com"" rel=""nofollow"">Azathoth Pharma</a>","AzathothPharma",0,FALSE,FALSE,NA,NA
"16","they said i have a sinus infection yet my entire body aches as if i had the flu.

which one of you anti-vaxers gave me the plague",FALSE,8,NA,"2019-02-25 23:41:00",FALSE,NA,"1100178881011687424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HAPPIESTDEAD",0,FALSE,FALSE,NA,NA
"17","My sinus acting so bad bruh",FALSE,0,NA,"2019-02-25 23:40:50",FALSE,NA,"1.100178839702e+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eyemahrii",0,FALSE,FALSE,NA,NA
"18","My allergist says everything is blooming early in #Houston this year. #Oak #Cedar #Elm - is here! Along with the al… https://t.co/fww8GYqzGa",FALSE,2,NA,"2019-02-25 23:40:18",TRUE,NA,"1100178707363315712",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ETxbloom",0,FALSE,FALSE,NA,NA
"19","@drhlaliberte I've had a sinus cold or whatever for 4 weeks now <U+0001F62D> I dont think it will ever go away either",FALSE,0,"drhlaliberte","2019-02-25 23:38:41",FALSE,"1100084424824287232","1100178300687785984","888267203233030144","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TyraMisponas",0,FALSE,FALSE,NA,NA
"20","@askmenfess Gak. Bisa bisa ngidap sinus kalo indonesia bersalju.",FALSE,0,"askmenfess","2019-02-25 23:37:00",FALSE,"1100176245176717312","1100177875666329600","810423824034299904","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkuKamuDanHalu",0,FALSE,FALSE,NA,NA
"21","Owens with a sinus infection. Get well soon!!",FALSE,0,NA,"2019-02-25 23:36:31",FALSE,NA,"1100177752769134592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terptalkwbb",0,FALSE,FALSE,NA,NA
"22","This sinus headache won't let me be great. Fucks Sake.",FALSE,3,NA,"2019-02-25 23:35:30",FALSE,NA,"1100177498036420608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmandaSoprano",0,FALSE,FALSE,NA,NA
"23","This is not a cold this is sinus",FALSE,0,NA,"2019-02-25 23:32:11",FALSE,NA,"1100176661608316928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GodivaCandyBar",0,FALSE,FALSE,NA,NA
"24","@JKDawsey @KellySmallsAT @ATCanonymous That’s what I failed.  I really wish they still had it.  It’s cuz I was nerv… https://t.co/V5EHHJojPt",FALSE,0,"JKDawsey","2019-02-25 23:31:18",TRUE,"1100175964481306624","1100176440878862336","25211886","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GreggDSchroeder",0,FALSE,FALSE,NA,NA
"25","@BonaFideSage . I used to get bad sinus infections requiring steroids. My nose was congested 365 for years. Turns o… https://t.co/2SoXut68Id",FALSE,0,"BonaFideSage","2019-02-25 23:30:42",TRUE,"1100175250694782976","1100176289628065792","872670979067195392","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PeoplesOracle",0,FALSE,FALSE,NA,NA
"26","having a sinus infection with double nostril piercings is NOT the move",FALSE,2,NA,"2019-02-25 23:29:48",FALSE,NA,"1100176063206834176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikaelaBotts",0,FALSE,FALSE,NA,NA
"27","pagi pagi sinus kambuh berasa dunia runtuh<U+0001F62D><U+0001F927><U+0001F927><U+0001F927>",FALSE,0,NA,"2019-02-25 23:29:18",FALSE,NA,"1100175936526245888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","featherough",0,FALSE,FALSE,NA,NA
"28","Sooo instead of getting better I've been getting progressively worse. I've been running on 3 hours of sleep and I w… https://t.co/oF60fGOVVz",FALSE,1,NA,"2019-02-25 23:29:10",TRUE,NA,"1100175905715077120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshenDarg",0,FALSE,FALSE,NA,NA
"29","@ADedurenko @MultiMooncat @er_novosti <U+0414><U+043E><U+043A><U+0430><U+0437><U+0430><U+0442><U+0435><U+043B><U+044C><U+0441><U+0442><U+0432><U+043E> - <U+043F><U+0440><U+0438><U+0441><U+043B><U+0430><U+043D><U+043D><U+043E><U+0435> <U+043F><U+0438><U+0441><U+044C><U+043C><U+043E>, <U+0432><U+0441><U+0451>",FALSE,0,"ADedurenko","2019-02-25 23:28:21",FALSE,"1100078197054627840","1100175696972955648","1715286739","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sinus_pobedy",0,FALSE,FALSE,NA,NA
"30","https://t.co/OYyXIiTqBG",FALSE,0,NA,"2019-02-25 23:24:06",FALSE,NA,"1100174630248157184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindashanes",0,FALSE,FALSE,NA,NA
"31","@BonaFideSage Sinus? Allergies? That’s all connected to the gut.",FALSE,0,"BonaFideSage","2019-02-25 23:20:31",FALSE,"1100173230457917440","1.100173729274e+18","872670979067195392","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PeoplesOracle",0,FALSE,FALSE,NA,NA
