"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@greenhousemd Also goes for the myth that the flu vaccine is just a money grab by doctors and pharma. <U+0001F914> Isn’t more… https://t.co/W4idFZ55ps",FALSE,36,"greenhousemd","2019-02-25 23:59:42",TRUE,"1.100159833226e+18","1100183588249759744","73648642","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Born2lbFat",2,FALSE,FALSE,NA,NA
"2","@DrCJohns Is a positive test necessary for prescribing tamiflu? (Within the the 48 hour window)
We’ve seen very mil… https://t.co/m40pYMJueP",FALSE,0,"DrCJohns","2019-02-25 23:58:34",TRUE,"1100179620115218432","1100183303359991808","78182168","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ajafari81",0,FALSE,FALSE,NA,NA
"3","The amount of tamiflu we sold today has me drenching my whole body in Germ-x noooooo flu for me please <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F645><U+200D><U+2640><U+FE0F>",FALSE,1,NA,"2019-02-25 23:52:54",FALSE,NA,"1100181876386476032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRealket_",0,FALSE,FALSE,NA,NA
"4","@DrCJohns Not sure what I loathe more, flu tests in the middle of flu season or Tamiflu...",FALSE,5,"DrCJohns","2019-02-25 23:52:13",FALSE,"1100179620115218432","1100181706286555136","78182168","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrHietanen",0,FALSE,FALSE,NA,NA
"5","Tamiflu Now Blamed For Suicide, Hallucinations, Confusion, And More https://t.co/4xB2GsAQ50",FALSE,0,NA,"2019-02-25 23:46:37",FALSE,NA,"1100180296366989312",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","lindamartinseng",0,FALSE,FALSE,NA,NA
"6","@doxmom82 I’ve never had to get Tamiflu before. Did you get it figured out?",FALSE,0,"doxmom82","2019-02-25 23:34:24",FALSE,"1.100008530634e+18","1100177220541263872","1910806423","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KrisDoerschner",0,FALSE,FALSE,NA,NA
"7","@angry_blue_dot @Betweenthehedge Sounds like how it hit Coop. I’m glad you feel better. The doc put him on Tamiflu… https://t.co/Bz5NDfrCyG",FALSE,2,"angry_blue_dot","2019-02-25 23:27:27",TRUE,"1100173346271096832","1100175470161743872","88819417","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VivianJo1",0,FALSE,FALSE,NA,NA
"8","Vocês já foram atrás de comprar o tamiflu?",FALSE,0,NA,"2019-02-25 23:10:10",FALSE,NA,"1100171124120473600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KikaSanFrei",0,FALSE,FALSE,NA,NA
"9","@Tamiflu_Omutsu <U+72AC><U+98FC><U+3063><U+3066><U+3093><U+306E>?",FALSE,0,"Tamiflu_Omutsu","2019-02-25 22:50:51",FALSE,"1100102257318584320","1100166259461709824","1050067550","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","murahito_eomsam",0,FALSE,FALSE,NA,NA
"10","@enginerdmd @chasemcgowen @vweric23 Tamiflu",FALSE,1,"enginerdmd","2019-02-25 22:39:02",FALSE,"1100162641010589696","1100163287323471872","3338293018","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MadMatt7783",0,FALSE,FALSE,NA,NA
